strategy,coin,timeframe,params,rr,risk_pct,trades,win_rate,net_profit_inr,final_capital_inr,max_dd_inr,max_dd_pct,profit_factor,expectancy,max_win_streak,max_loss_streak,sharpe,exposure
SINGLE,BTC/USDT,1h,P7x1.5,1:2,1.0,473,31.08,-7112.81,2887.19,7185.79,71.86,0.65,-15.04,4,17,-16.75,71.91
SINGLE,BTC/USDT,1h,P7x1.5,1:3,1.0,323,21.98,-6359.81,3640.19,6507.13,64.52,0.65,-19.69,3,25,-16.41,79.63
SINGLE,BTC/USDT,1h,P7x2.0,1:2,1.0,343,33.53,-4464.82,5535.18,4657.03,46.34,0.76,-13.02,5,8,-10.0,68.77
SINGLE,BTC/USDT,1h,P7x2.0,1:3,1.0,220,29.55,-180.51,9819.49,1923.94,17.43,0.99,-0.82,3,12,0.3,80.37
SINGLE,BTC/USDT,1h,P7x2.5,1:2,1.0,238,33.19,-3243.93,6756.07,3840.2,38.4,0.76,-13.63,5,13,-9.22,70.8
SINGLE,BTC/USDT,1h,P7x2.5,1:3,1.0,171,26.32,-1944.01,8055.99,2570.81,25.59,0.84,-11.37,3,10,-5.4,77.67
SINGLE,BTC/USDT,1h,P7x3.0,1:2,1.0,170,32.35,-2550.8,7449.2,2866.12,28.66,0.77,-15.0,4,9,-9.61,72.77
SINGLE,BTC/USDT,1h,P7x3.0,1:3,1.0,125,17.6,-4266.29,5733.71,4436.56,44.37,0.51,-34.13,2,19,-23.56,78.79
SINGLE,BTC/USDT,1h,P7x3.5,1:2,1.0,126,34.92,-820.17,9179.83,2016.55,18.44,0.91,-6.51,5,6,-3.29,73.98
SINGLE,BTC/USDT,1h,P7x3.5,1:3,1.0,93,30.11,910.63,10910.63,1111.47,10.69,1.13,9.79,4,6,4.87,79.48
SINGLE,BTC/USDT,1h,P10x1.5,1:2,1.0,480,28.54,-7823.74,2176.26,7904.41,79.04,0.58,-16.3,4,18,-20.51,70.51
SINGLE,BTC/USDT,1h,P10x1.5,1:3,1.0,342,20.47,-7065.7,2934.3,7316.75,71.89,0.62,-20.66,4,18,-19.04,78.84
SINGLE,BTC/USDT,1h,P10x2.0,1:2,1.0,319,35.11,-3469.89,6530.11,4090.14,40.39,0.81,-10.88,5,8,-7.47,69.7
SINGLE,BTC/USDT,1h,P10x2.0,1:3,1.0,209,28.71,-945.4,9054.6,2509.62,22.11,0.94,-4.52,3,11,-1.55,80.38
SINGLE,BTC/USDT,1h,P10x2.5,1:2,1.0,238,34.87,-2531.43,7468.57,3424.14,32.12,0.83,-10.64,3,11,-6.69,68.97
SINGLE,BTC/USDT,1h,P10x2.5,1:3,1.0,177,31.07,916.37,10916.37,1786.08,14.18,1.06,5.18,6,12,2.97,77.56
SINGLE,BTC/USDT,1h,P10x3.0,1:2,1.0,161,30.43,-3125.48,6874.52,3445.08,34.45,0.69,-19.41,2,7,-13.44,73.35
SINGLE,BTC/USDT,1h,P10x3.0,1:3,1.0,136,25.74,-1728.9,8271.1,2918.93,27.49,0.83,-12.71,3,19,-5.97,75.38
SINGLE,BTC/USDT,1h,P10x3.5,1:2,1.0,137,33.58,-1435.55,8564.45,2714.34,24.07,0.86,-10.48,6,8,-5.94,71.33
SINGLE,BTC/USDT,1h,P10x3.5,1:3,1.0,105,17.14,-3630.18,6369.82,3907.5,39.07,0.5,-34.57,3,17,-22.59,75.32
SINGLE,BTC/USDT,1h,P14x1.5,1:2,1.0,500,32.0,-6879.15,3120.85,6965.58,69.66,0.68,-13.76,4,14,-14.31,71.56
