coin,timeframe,bars,data_start,data_end,rr,risk_pct,sl_pct,strategy,starting_capital,ending_capital,total_net_profit,return_pct,max_drawdown_inr,max_drawdown_pct,max_profit,max_loss,avg_win,avg_loss,largest_win,largest_loss,win_rate,loss_rate,profit_factor,expectancy,num_trades,winning_trades,losing_trades,breakeven_trades,max_win_streak,max_loss_streak,avg_win_streak,avg_loss_streak,recovery_factor,sharpe,sortino,calmar,exposure_pct,avg_duration_hours,max_duration_hours,min_duration_hours,gross_profit,gross_loss
BTC/INR,5m,1953,2026-09-17 05:30:00+05:30,2026-09-24 00:10:00+05:30,1:2,1%,8%,Double ST 10x3+10x4,10000.0,10106.79,106.79,1.07,37.41,0.37,72.13,-37.42,29.08,-19.3,72.13,-37.42,71.43,28.57,3.77,15.25,7,5,2,0,3,1,2.5,1.0,2.85,15.03,23.49,246.28,90.16,20.95,23.75,13.08,145.39,38.61
BTC/INR,5m,1953,2026-09-17 05:30:00+05:30,2026-09-24 00:10:00+05:30,1:3,1%,8%,Double ST 10x3+10x4,10000.0,10106.79,106.79,1.07,37.41,0.37,72.13,-37.42,29.08,-19.3,72.13,-37.42,71.43,28.57,3.77,15.25,7,5,2,0,3,1,2.5,1.0,2.85,15.03,23.49,246.28,90.16,20.95,23.75,13.08,145.39,38.61
BTC/INR,15m,5738,2026-07-26 05:30:00+05:30,2026-09-24 00:00:00+05:30,1:2,1%,8%,Double ST 10x3+10x4,10000.0,9905.07,-94.93,-0.95,263.61,2.6,76.4,-76.88,18.94,-16.72,76.4,-76.88,42.37,57.63,0.83,-1.61,59,25,34,0,4,4,1.67,2.12,-0.36,-2.32,-3.63,-2.2,82.94,20.17,23.5,1.5,473.43,568.39
BTC/INR,15m,5738,2026-07-26 05:30:00+05:30,2026-09-24 00:00:00+05:30,1:3,1%,8%,Double ST 10x3+10x4,10000.0,9905.07,-94.93,-0.95,263.61,2.6,76.4,-76.88,18.94,-16.72,76.4,-76.88,42.37,57.63,0.83,-1.61,59,25,34,0,4,4,1.67,2.12,-0.36,-2.32,-3.63,-2.2,82.94,20.17,23.5,1.5,473.43,568.39
BTC/INR,30m,2870,2026-07-26 05:30:00+05:30,2026-09-24 00:00:00+05:30,1:2,1%,8%,Double ST 10x3+10x4,10000.0,9923.79,-76.21,-0.76,273.61,2.7,70.26,-48.21,21.85,-18.08,70.26,-48.21,41.82,58.18,0.87,-1.39,55,23,32,0,5,5,1.92,2.46,-0.28,-1.87,-3.66,-1.71,67.1,17.5,24.0,2.0,502.47,578.65
BTC/INR,30m,2870,2026-07-26 05:30:00+05:30,2026-09-24 00:00:00+05:30,1:3,1%,8%,Double ST 10x3+10x4,10000.0,9923.79,-76.21,-0.76,273.61,2.7,70.26,-48.21,21.85,-18.08,70.26,-48.21,41.82,58.18,0.87,-1.39,55,23,32,0,5,5,1.92,2.46,-0.28,-1.87,-3.66,-1.71,67.1,17.5,24.0,2.0,502.47,578.65
BTC/INR,1h,17331,2024-09-23 23:30:00+05:30,2026-09-23 23:30:00+05:30,1:2,1%,8%,Double ST 10x3+10x4,10000.0,8706.99,-1293.01,-12.93,1730.37,16.8,128.18,-102.8,17.43,-15.74,128.18,-102.8,41.08,58.92,0.77,-2.12,611,251,360,0,6,12,1.73,2.47,-0.75,-3.42,-5.1,-0.4,53.26,15.27,108.0,2.0,4373.89,5666.87
BTC/INR,1h,17331,2024-09-23 23:30:00+05:30,2026-09-23 23:30:00+05:30,1:3,1%,8%,Double ST 10x3+10x4,10000.0,8706.99,-1293.01,-12.93,1730.37,16.8,128.18,-102.8,17.43,-15.74,128.18,-102.8,41.08,58.92,0.77,-2.12,611,251,360,0,6,12,1.73,2.47,-0.75,-3.42,-5.1,-0.4,53.26,15.27,108.0,2.0,4373.89,5666.87
ETH/INR,5m,1953,2026-09-17 05:30:00+05:30,2026-09-24 00:10:00+05:30,1:2,1%,8%,Double ST 10x3+10x4,10000.0,9923.32,-76.68,-0.77,84.61,0.85,55.08,-84.62,23.0,-36.42,55.08,-84.62,42.86,57.14,0.47,-10.96,7,3,4,0,1,2,1.0,1.33,-0.91,-9.45,-11.06,-44.22,94.31,21.92,23.67,13.08,68.99,145.68
ETH/INR,5m,1953,2026-09-17 05:30:00+05:30,2026-09-24 00:10:00+05:30,1:3,1%,8%,Double ST 10x3+10x4,10000.0,9923.32,-76.68,-0.77,84.61,0.85,55.08,-84.62,23.0,-36.42,55.08,-84.62,42.86,57.14,0.47,-10.96,7,3,4,0,1,2,1.0,1.33,-0.91,-9.45,-11.06,-44.22,94.31,21.92,23.67,13.08,68.99,145.68
