trade_no,coin,timeframe,direction,entry_time,exit_time,entry_price_usd,entry_price_inr,stop_price_usd,target_price_usd,exit_price_usd,exit_price_inr,exit_reason,risk_pct,risk_inr,position_size_coin,position_size_inr,gross_pnl_inr,fees_inr,net_pnl_inr,net_pnl,equity_before,equity_after
1,BTC/INR,15m,LONG,2026-07-26 21:00:00+05:30,2026-07-27 00:00:00+05:30,64758.76,5407356.6,59578.06,80300.86,64601.67,5394239.55,INTRADAY_SQUAREOFF,0.01,100.0,0.000231,1250.0,-3.03,1.47,-4.51,-4.51,10000.0,9995.49
2,BTC/INR,15m,LONG,2026-07-27 03:00:00+05:30,2026-07-28 00:00:00+05:30,64830.89,5413379.11,59644.42,80390.3,64825.58,5412936.16,INTRADAY_SQUAREOFF,0.01,99.95,0.000231,1249.44,-0.1,1.47,-1.58,-1.58,9995.49,9993.92
3,BTC/INR,15m,SHORT,2026-07-28 03:00:00+05:30,2026-07-29 00:00:00+05:30,64724.58,5404502.64,69902.55,49190.68,63660.97,5315691.39,INTRADAY_SQUAREOFF,0.01,99.94,0.000231,1249.24,20.53,1.46,19.07,19.07,9993.92,10012.98
4,BTC/INR,15m,LONG,2026-07-29 01:30:00+05:30,2026-07-30 00:00:00+05:30,63862.36,5332506.78,58753.37,79189.32,63993.57,5343462.71,INTRADAY_SQUAREOFF,0.01,100.13,0.000235,1251.62,2.57,1.48,1.09,1.09,10012.98,10014.08
5,BTC/INR,15m,SHORT,2026-07-30 06:15:00+05:30,2026-07-31 00:00:00+05:30,63576.77,5308660.62,68662.92,48318.35,64765.6,5407928.01,INTRADAY_SQUAREOFF,0.01,100.14,0.000236,1251.76,-23.41,1.49,-24.9,-24.9,10014.08,9989.18
6,BTC/INR,15m,LONG,2026-07-31 00:45:00+05:30,2026-08-01 00:00:00+05:30,64827.35,5413083.45,59641.16,80385.91,62959.32,5257103.63,INTRADAY_SQUAREOFF,0.01,99.89,0.000231,1248.65,-35.98,1.45,-37.43,-37.43,9989.18,9951.75
7,BTC/INR,15m,SHORT,2026-08-01 04:00:00+05:30,2026-08-02 00:00:00+05:30,62886.97,5251062.03,67917.93,47794.1,62534.75,5221651.77,INTRADAY_SQUAREOFF,0.01,99.52,0.000237,1243.97,6.97,1.46,5.5,5.5,9951.75,9957.25
8,BTC/INR,15m,SHORT,2026-08-02 01:15:00+05:30,2026-08-03 00:00:00+05:30,62362.29,5207251.34,67351.27,47395.34,63252.11,5281551.21,INTRADAY_SQUAREOFF,0.01,99.57,0.000239,1244.66,-17.76,1.48,-19.24,-19.24,9957.25,9938.01
9,BTC/INR,15m,LONG,2026-08-03 01:15:00+05:30,2026-08-04 00:00:00+05:30,63357.16,5290323.09,58288.59,78562.88,63765.42,5324412.71,INTRADAY_SQUAREOFF,0.01,99.38,0.000235,1242.25,8.0,1.47,6.53,6.53,9938.01,9944.55
10,BTC/INR,15m,LONG,2026-08-04 08:15:00+05:30,2026-08-05 00:00:00+05:30,63932.81,5338389.62,58818.19,79276.68,64288.82,5368116.47,INTRADAY_SQUAREOFF,0.01,99.45,0.000233,1243.07,6.92,1.47,5.45,5.45,9944.55,9950.0
11,BTC/INR,15m,LONG,2026-08-05 01:15:00+05:30,2026-08-06 00:00:00+05:30,64390.58,5376613.23,59239.33,79844.32,64624.67,5396160.07,INTRADAY_SQUAREOFF,0.01,99.5,0.000231,1243.75,4.52,1.47,3.05,3.05,9950.0,9953.05
12,BTC/INR,15m,LONG,2026-08-06 00:45:00+05:30,2026-08-07 00:00:00+05:30,64893.97,5418646.48,59702.45,80468.52,64426.5,5379612.84,INTRADAY_SQUAREOFF,0.01,99.53,0.00023,1244.13,-8.96,1.46,-10.42,-10.42,9953.05,9942.62
13,BTC/INR,15m,LONG,2026-08-07 01:45:00+05:30,2026-08-08 00:00:00+05:30,64511.56,5386715.26,59350.64,79994.33,64730.86,5405026.53,INTRADAY_SQUAREOFF,0.01,99.43,0.000231,1242.83,4.22,1.47,2.76,2.76,9942.62,9945.38
