trade_no,coin,timeframe,direction,entry_time,exit_time,entry_price_usd,entry_price_inr,stop_price_usd,target_price_usd,exit_price_usd,exit_price_inr,exit_reason,risk_pct,risk_inr,position_size_coin,position_size_inr,gross_pnl_inr,fees_inr,net_pnl_inr,net_pnl,equity_before,equity_after
1,ETH/INR,15m,LONG,2026-07-26 19:15:00+05:30,2026-07-27 00:00:00+05:30,1887.58,157613.21,1736.58,2189.6,1910.94,159563.83,INTRADAY_SQUAREOFF,0.01,100.0,0.007931,1250.0,15.47,1.48,13.99,13.99,10000.0,10013.99
2,ETH/INR,15m,LONG,2026-07-27 07:30:00+05:30,2026-07-28 00:00:00+05:30,1947.49,162615.69,1791.69,2259.09,1936.09,161663.64,INTRADAY_SQUAREOFF,0.01,100.14,0.007698,1251.75,-7.33,1.47,-8.8,-8.8,10013.99,10005.18
3,ETH/INR,15m,SHORT,2026-07-28 01:45:00+05:30,2026-07-29 00:00:00+05:30,1942.39,162189.42,2097.78,1631.61,1908.38,159350.04,INTRADAY_SQUAREOFF,0.01,100.05,0.007711,1250.65,21.89,1.46,20.43,20.43,10005.18,10025.62
4,ETH/INR,15m,LONG,2026-07-29 01:00:00+05:30,2026-07-30 00:00:00+05:30,1917.22,160087.71,1763.84,2223.97,1905.86,159139.03,INTRADAY_SQUAREOFF,0.01,100.26,0.007828,1253.2,-7.43,1.47,-8.9,-8.9,10025.62,10016.72
5,ETH/INR,15m,SHORT,2026-07-30 04:45:00+05:30,2026-07-31 00:00:00+05:30,1899.25,158587.36,2051.19,1595.37,1919.46,160274.85,INTRADAY_SQUAREOFF,0.01,100.17,0.007895,1252.09,-13.32,1.49,-14.81,-14.81,10016.72,10001.91
6,ETH/INR,15m,LONG,2026-07-31 00:45:00+05:30,2026-08-01 00:00:00+05:30,1922.08,160493.73,1768.31,2229.61,1866.49,155851.61,INTRADAY_SQUAREOFF,0.01,100.02,0.00779,1250.24,-36.16,1.45,-37.62,-37.62,10001.91,9964.29
7,ETH/INR,15m,SHORT,2026-08-01 02:30:00+05:30,2026-08-02 00:00:00+05:30,1858.62,155194.79,2007.31,1561.24,1852.74,154703.45,INTRADAY_SQUAREOFF,0.01,99.64,0.008026,1245.54,3.94,1.47,2.48,2.48,9964.29,9966.77
8,ETH/INR,15m,LONG,2026-08-02 07:45:00+05:30,2026-08-03 00:00:00+05:30,1878.33,156840.45,1728.06,2178.86,1866.22,155829.07,INTRADAY_SQUAREOFF,0.01,99.67,0.007943,1245.85,-8.03,1.47,-9.5,-9.5,9966.77,9957.27
9,ETH/INR,15m,LONG,2026-08-03 01:15:00+05:30,2026-08-04 00:00:00+05:30,1877.72,156789.49,1727.5,2178.15,1866.25,155831.58,INTRADAY_SQUAREOFF,0.01,99.57,0.007938,1244.66,-7.6,1.46,-9.07,-9.07,9957.27,9948.2
10,ETH/INR,15m,LONG,2026-08-04 00:45:00+05:30,2026-08-05 00:00:00+05:30,1871.1,156236.44,1721.41,2170.47,1877.05,156733.76,INTRADAY_SQUAREOFF,0.01,99.48,0.007959,1243.52,3.96,1.47,2.49,2.49,9948.2,9950.69
11,ETH/INR,15m,LONG,2026-08-05 00:45:00+05:30,2026-08-06 00:00:00+05:30,1878.07,156818.73,1727.82,2178.56,1916.88,160059.57,INTRADAY_SQUAREOFF,0.01,99.51,0.007932,1243.84,25.71,1.48,24.22,24.22,9950.69,9974.91
12,ETH/INR,15m,LONG,2026-08-06 02:15:00+05:30,2026-08-07 00:00:00+05:30,1923.42,160605.67,1769.55,2231.17,1908.96,159397.75,INTRADAY_SQUAREOFF,0.01,99.75,0.007764,1246.86,-9.38,1.47,-10.84,-10.84,9974.91,9964.07
13,ETH/INR,15m,LONG,2026-08-07 15:15:00+05:30,2026-08-08 00:00:00+05:30,1917.26,160091.06,1763.88,2224.02,1910.46,159523.77,INTRADAY_SQUAREOFF,0.01,99.64,0.00778,1245.51,-4.41,1.47,-5.88,-5.88,9964.07,9958.19
14,ETH/INR,15m,SHORT,2026-08-08 02:00:00+05:30,2026-08-09 00:00:00+05:30,1914.31,159845.08,2067.46,1608.02,1919.96,160316.62,INTRADAY_SQUAREOFF,0.01,99.58,0.007787,1244.77,-3.67,1.47,-5.14,-5.14,9958.19,9953.04
15,ETH/INR,15m,SHORT,2026-08-09 07:00:00+05:30,2026-08-10 00:00:00+05:30,1910.94,159563.83,2063.82,1605.19,1921.84,160473.68,INTRADAY_SQUAREOFF,0.01,99.53,0.007797,1244.13,-7.09,1.47,-8.57,-8.57,9953.04,9944.48
16,ETH/INR,15m,LONG,2026-08-10 03:45:00+05:30,2026-08-11 00:00:00+05:30,1933.84,161475.34,1779.13,2243.25,1868.85,156048.57,INTRADAY_SQUAREOFF,0.01,99.44,0.007698,1243.06,-41.78,1.44,-43.22,-43.22,9944.48,9901.26
17,ETH/INR,15m,SHORT,2026-08-11 02:45:00+05:30,2026-08-12 00:00:00+05:30,1873.2,156412.45,2023.06,1573.49,1861.35,155422.75,INTRADAY_SQUAREOFF,0.01,99.01,0.007913,1237.66,7.83,1.46,6.38,6.38,9901.26,9907.63
18,ETH/INR,15m,SHORT,2026-08-12 00:45:00+05:30,2026-08-13 00:00:00+05:30,1860.13,155320.82,2008.94,1562.51,1886.54,157526.32,INTRADAY_SQUAREOFF,0.01,99.08,0.007974,1238.45,-17.59,1.47,-19.06,-19.06,9907.63,9888.58
19,ETH/INR,15m,SHORT,2026-08-13 00:30:00+05:30,2026-08-14 00:00:00+05:30,1882.0,157146.87,2032.56,1580.88,1876.42,156680.88,INTRADAY_SQUAREOFF,0.01,98.89,0.007866,1236.07,3.67,1.46,2.21,2.21,9888.58,9890.79
20,ETH/INR,15m,SHORT,2026-08-14 04:45:00+05:30,2026-08-15 00:00:00+05:30,1883.89,157304.61,2034.6,1582.47,1874.37,156509.63,INTRADAY_SQUAREOFF,0.01,98.91,0.00786,1236.35,6.25,1.46,4.79,4.79,9890.79,9895.58
21,ETH/INR,15m,LONG,2026-08-15 01:00:00+05:30,2026-08-16 00:00:00+05:30,1877.23,156748.55,1727.05,2177.58,1879.8,156963.27,INTRADAY_SQUAREOFF,0.01,98.96,0.007891,1236.95,1.69,1.46,0.23,0.23,9895.58,9895.81
22,ETH/INR,15m,LONG,2026-08-16 00:45:00+05:30,2026-08-17 00:00:00+05:30,1882.35,157176.29,1731.76,2183.53,1883.31,157256.21,INTRADAY_SQUAREOFF,0.01,98.96,0.00787,1236.98,0.63,1.46,-0.83,-0.83,9895.81,9894.98
23,ETH/INR,15m,LONG,2026-08-17 01:00:00+05:30,2026-08-18 00:00:00+05:30,1887.0,157564.76,1736.04,2188.92,1908.19,159333.48,INTRADAY_SQUAREOFF,0.01,98.95,0.00785,1236.87,13.88,1.47,12.42,12.42,9894.98,9907.4
24,ETH/INR,15m,LONG,2026-08-18 02:15:00+05:30,2026-08-19 00:00:00+05:30,1909.97,159482.87,1757.18,2215.57,1914.32,159845.92,INTRADAY_SQUAREOFF,0.01,99.07,0.007765,1238.42,2.82,1.46,1.36,1.36,9907.4,9908.75
25,ETH/INR,15m,LONG,2026-08-19 01:00:00+05:30,2026-08-20 00:00:00+05:30,1917.3,160094.39,1763.91,2224.07,2084.73,174074.72,INTRADAY_SQUAREOFF,0.01,99.09,0.007737,1238.59,108.16,1.53,106.64,106.64,9908.75,10015.39
