trade_no,coin,timeframe,direction,entry_time,exit_time,entry_price_usd,entry_price_inr,stop_price_usd,target_price_usd,exit_price_usd,exit_price_inr,exit_reason,risk_pct,risk_inr,position_size_coin,position_size_inr,gross_pnl_inr,fees_inr,net_pnl_inr,net_pnl,equity_before,equity_after
1,SOL/INR,15m,LONG,2026-07-26 19:15:00+05:30,2026-07-27 00:00:00+05:30,74.93,6256.44,68.93,92.91,75.25,6283.57,INTRADAY_SQUAREOFF,0.01,100.0,0.199794,1250.0,5.42,1.48,3.94,3.94,10000.0,10003.94
2,SOL/INR,15m,LONG,2026-07-27 03:45:00+05:30,2026-07-28 00:00:00+05:30,76.14,6357.53,70.05,94.41,75.52,6306.11,INTRADAY_SQUAREOFF,0.01,100.04,0.196695,1250.49,-10.11,1.47,-11.58,-11.58,10003.94,9992.36
3,SOL/INR,15m,SHORT,2026-07-28 03:00:00+05:30,2026-07-29 00:00:00+05:30,75.47,6301.93,81.51,57.36,73.8,6162.04,INTRADAY_SQUAREOFF,0.01,99.92,0.1982,1249.04,27.73,1.46,26.27,26.27,9992.36,10018.63
4,SOL/INR,15m,LONG,2026-07-29 01:00:00+05:30,2026-07-30 00:00:00+05:30,74.04,6182.09,68.11,91.81,73.81,6163.39,INTRADAY_SQUAREOFF,0.01,100.19,0.202574,1252.33,-3.79,1.48,-5.26,-5.26,10018.63,10013.36
5,SOL/INR,15m,SHORT,2026-07-30 02:30:00+05:30,2026-07-31 00:00:00+05:30,72.49,6053.23,78.29,55.1,74.71,6238.06,INTRADAY_SQUAREOFF,0.01,100.13,0.206777,1251.67,-38.22,1.5,-39.72,-39.72,10013.36,9973.64
6,SOL/INR,15m,LONG,2026-07-31 00:45:00+05:30,2026-08-01 00:00:00+05:30,74.74,6240.57,68.76,92.67,73.09,6103.3,INTRADAY_SQUAREOFF,0.01,99.74,0.199774,1246.71,-27.42,1.45,-28.88,-28.88,9973.64,9944.77
7,SOL/INR,15m,SHORT,2026-08-01 02:30:00+05:30,2026-08-02 00:00:00+05:30,72.82,6080.77,78.65,55.35,71.48,5968.22,INTRADAY_SQUAREOFF,0.01,99.45,0.204431,1243.1,23.01,1.45,21.55,21.55,9944.77,9966.32
8,SOL/INR,15m,LONG,2026-08-02 08:30:00+05:30,2026-08-03 00:00:00+05:30,73.12,6105.23,67.27,90.66,73.27,6118.32,INTRADAY_SQUAREOFF,0.01,99.66,0.204053,1245.79,2.67,1.47,1.2,1.2,9966.32,9967.52
9,SOL/INR,15m,SHORT,2026-08-03 09:15:00+05:30,2026-08-04 00:00:00+05:30,72.82,6080.77,78.65,55.35,73.95,6174.57,INTRADAY_SQUAREOFF,0.01,99.68,0.204898,1245.94,-19.22,1.48,-20.7,-20.7,9967.52,9946.82
10,SOL/INR,15m,LONG,2026-08-04 09:15:00+05:30,2026-08-05 00:00:00+05:30,73.73,6156.19,67.83,91.42,74.22,6197.61,INTRADAY_SQUAREOFF,0.01,99.47,0.201968,1243.35,8.37,1.47,6.89,6.89,9946.82,9953.71
11,SOL/INR,15m,LONG,2026-08-05 00:45:00+05:30,2026-08-06 00:00:00+05:30,74.38,6210.49,68.43,92.23,74.4,6212.63,INTRADAY_SQUAREOFF,0.01,99.54,0.200341,1244.21,0.43,1.47,-1.04,-1.04,9953.71,9952.67
12,SOL/INR,15m,SHORT,2026-08-06 07:45:00+05:30,2026-08-07 00:00:00+05:30,73.48,6135.85,79.36,55.85,73.09,6102.73,INTRADAY_SQUAREOFF,0.01,99.53,0.202757,1244.08,6.72,1.46,5.25,5.25,9952.67,9957.93
13,SOL/INR,15m,SHORT,2026-08-07 02:30:00+05:30,2026-08-08 00:00:00+05:30,72.74,6074.09,78.56,55.29,73.48,6135.31,INTRADAY_SQUAREOFF,0.01,99.58,0.204926,1244.74,-12.54,1.48,-14.02,-14.02,9957.93,9943.91
14,SOL/INR,15m,LONG,2026-08-08 11:00:00+05:30,2026-08-09 00:00:00+05:30,74.7,6237.23,68.72,92.62,75.99,6345.33,INTRADAY_SQUAREOFF,0.01,99.44,0.199285,1242.99,21.54,1.48,20.06,20.06,9943.91,9963.97
15,SOL/INR,15m,LONG,2026-08-09 01:45:00+05:30,2026-08-10 00:00:00+05:30,76.25,6366.72,70.15,94.55,77.09,6437.13,INTRADAY_SQUAREOFF,0.01,99.64,0.195626,1245.5,13.78,1.48,12.3,12.3,9963.97,9976.27
16,SOL/INR,15m,LONG,2026-08-10 01:00:00+05:30,2026-08-11 00:00:00+05:30,77.28,6452.76,71.1,95.83,75.85,6333.65,INTRADAY_SQUAREOFF,0.01,99.76,0.193256,1247.03,-23.02,1.46,-24.48,-24.48,9976.27,9951.79
17,SOL/INR,15m,SHORT,2026-08-11 09:30:00+05:30,2026-08-12 00:00:00+05:30,75.95,6341.99,82.03,57.72,75.2,6279.0,INTRADAY_SQUAREOFF,0.01,99.52,0.196149,1243.97,12.36,1.46,10.9,10.9,9951.79,9962.68
