trade_no,coin,timeframe,direction,entry_time,exit_time,entry_price_usd,entry_price_inr,stop_price_usd,target_price_usd,exit_price_usd,exit_price_inr,exit_reason,risk_pct,risk_inr,position_size_coin,position_size_inr,gross_pnl_inr,fees_inr,net_pnl_inr,net_pnl,equity_before,equity_after
1,SOL/INR,1h,LONG,2024-09-26 21:30:00+05:30,2024-09-27 00:30:00+05:30,157.86,13181.12,145.23,195.74,156.54,13071.49,INTRADAY_SQUAREOFF,0.01,100.0,0.094833,1250.0,-10.4,1.47,-11.87,-11.87,10000.0,9988.13
2,SOL/INR,1h,LONG,2024-09-27 04:30:00+05:30,2024-09-28 00:30:00+05:30,156.35,13055.18,143.84,193.87,158.4,13226.52,INTRADAY_SQUAREOFF,0.01,99.88,0.095634,1248.52,16.39,1.48,14.9,14.9,9988.13,10003.04
3,SOL/INR,1h,LONG,2024-09-28 07:30:00+05:30,2024-09-29 00:30:00+05:30,158.61,13243.77,145.92,196.67,156.67,13082.0,INTRADAY_SQUAREOFF,0.01,100.03,0.094413,1250.38,-15.27,1.47,-16.74,-16.74,10003.04,9986.3
4,SOL/INR,1h,SHORT,2024-09-29 02:30:00+05:30,2024-09-30 00:30:00+05:30,156.52,13069.33,169.04,118.95,158.22,13211.11,INTRADAY_SQUAREOFF,0.01,99.86,0.095513,1248.29,-13.54,1.48,-15.02,-15.02,9986.3,9971.27
5,SOL/INR,1h,SHORT,2024-09-30 15:30:00+05:30,2024-10-01 00:30:00+05:30,155.04,12945.47,167.44,117.83,155.06,12947.85,INTRADAY_SQUAREOFF,0.01,99.71,0.096281,1246.41,-0.23,1.47,-1.7,-1.7,9971.27,9969.57
6,SOL/INR,1h,SHORT,2024-10-01 04:30:00+05:30,2024-10-02 00:30:00+05:30,154.57,12906.76,166.94,117.47,147.46,12312.82,INTRADAY_SQUAREOFF,0.01,99.7,0.096554,1246.2,57.35,1.44,55.91,55.91,9969.57,10025.49
7,SOL/INR,1h,SHORT,2024-10-02 04:30:00+05:30,2024-10-03 00:30:00+05:30,144.02,12026.02,155.55,109.46,142.69,11914.34,INTRADAY_SQUAREOFF,0.01,100.25,0.104206,1253.19,11.64,1.47,10.17,10.17,10025.49,10035.65
8,SOL/INR,1h,SHORT,2024-10-03 11:30:00+05:30,2024-10-04 00:30:00+05:30,141.09,11780.61,152.37,107.22,136.36,11386.25,INTRADAY_SQUAREOFF,0.01,100.36,0.106485,1254.46,41.99,1.46,40.54,40.54,10035.65,10076.19
9,SOL/INR,1h,SHORT,2024-10-04 16:30:00+05:30,2024-10-05 00:30:00+05:30,139.35,11635.36,150.49,105.9,143.66,11995.9,INTRADAY_SQUAREOFF,0.01,100.76,0.10825,1259.52,-39.03,1.51,-40.54,-40.54,10076.19,10035.65
10,SOL/INR,1h,LONG,2024-10-05 06:30:00+05:30,2024-10-06 00:30:00+05:30,143.98,12022.09,132.46,178.53,142.24,11877.15,INTRADAY_SQUAREOFF,0.01,100.36,0.104346,1254.46,-15.12,1.47,-16.6,-16.6,10035.65,10019.06
11,SOL/INR,1h,LONG,2024-10-07 00:30:00+05:30,2024-10-08 00:30:00+05:30,146.0,12191.15,134.32,181.04,145.71,12167.03,INTRADAY_SQUAREOFF,0.01,100.19,0.102729,1252.38,-2.48,1.48,-3.95,-3.95,10019.06,10015.1
12,SOL/INR,1h,SHORT,2024-10-08 18:30:00+05:30,2024-10-09 00:30:00+05:30,143.54,11985.39,155.02,109.09,142.96,11936.8,INTRADAY_SQUAREOFF,0.01,100.15,0.104451,1251.89,5.08,1.47,3.6,3.6,10015.1,10018.7
13,SOL/INR,1h,SHORT,2024-10-09 04:30:00+05:30,2024-10-10 00:30:00+05:30,143.15,11953.17,154.6,108.8,140.5,11732.14,INTRADAY_SQUAREOFF,0.01,100.19,0.10477,1252.34,23.16,1.46,21.69,21.69,10018.7,10040.4
14,SOL/INR,1h,SHORT,2024-10-10 02:30:00+05:30,2024-10-11 00:30:00+05:30,138.76,11586.44,149.86,105.46,137.04,11443.13,INTRADAY_SQUAREOFF,0.01,100.4,0.108321,1255.05,15.52,1.47,14.05,14.05,10040.4,10054.45
15,SOL/INR,1h,LONG,2024-10-11 18:30:00+05:30,2024-10-12 00:30:00+05:30,143.0,11940.53,131.56,177.32,145.73,12168.76,INTRADAY_SQUAREOFF,0.01,100.54,0.105255,1256.81,24.02,1.5,22.53,22.53,10054.45,10076.97
16,SOL/INR,1h,LONG,2024-10-12 06:30:00+05:30,2024-10-13 00:30:00+05:30,146.49,12231.93,134.77,181.65,146.39,12223.55,INTRADAY_SQUAREOFF,0.01,100.77,0.102978,1259.62,-0.86,1.49,-2.35,-2.35,10076.97,10074.62
17,SOL/INR,1h,LONG,2024-10-13 04:30:00+05:30,2024-10-14 00:30:00+05:30,147.15,12287.23,135.38,182.47,145.26,12129.33,INTRADAY_SQUAREOFF,0.01,100.75,0.102491,1259.33,-16.18,1.48,-17.66,-17.66,10074.62,10056.96
18,SOL/INR,1h,LONG,2024-10-14 13:30:00+05:30,2024-10-15 00:30:00+05:30,152.95,12771.37,140.71,189.66,155.75,13005.05,INTRADAY_SQUAREOFF,0.01,100.57,0.098433,1257.12,23.0,1.5,21.5,21.5,10056.96,10078.47
19,SOL/INR,1h,LONG,2024-10-15 04:30:00+05:30,2024-10-16 00:30:00+05:30,157.62,13161.61,145.01,195.45,155.12,12952.62,INTRADAY_SQUAREOFF,0.01,100.78,0.095718,1259.81,-20.0,1.47,-21.48,-21.48,10078.47,10056.99
20,SOL/INR,1h,SHORT,2024-10-17 17:30:00+05:30,2024-10-18 00:30:00+05:30,151.14,12620.12,163.23,114.87,148.61,12408.76,INTRADAY_SQUAREOFF,0.01,100.57,0.099613,1257.12,21.05,1.47,19.58,19.58,10056.99,10076.57
21,SOL/INR,1h,SHORT,2024-10-18 06:30:00+05:30,2024-10-19 00:30:00+05:30,149.63,12494.25,161.6,113.72,156.15,13038.29,INTRADAY_SQUAREOFF,0.01,100.77,0.100812,1259.57,-54.85,1.52,-56.36,-56.36,10076.57,10020.21
