coin,timeframe,bars,data_start,data_end,rr,risk_fixed_inr,sl_pct,strategy,starting_capital,ending_capital,total_net_profit,return_pct,max_drawdown_inr,max_drawdown_pct,max_profit,max_loss,avg_win,avg_loss,largest_win,largest_loss,win_rate,loss_rate,profit_factor,expectancy,num_trades,winning_trades,losing_trades,breakeven_trades,max_win_streak,max_loss_streak,avg_win_streak,avg_loss_streak,recovery_factor,sharpe,sortino,calmar,exposure_pct,avg_duration_hours,max_duration_hours,min_duration_hours,gross_profit,gross_loss
BTC/INR,5m,1951,2026-09-17 05:30:00+05:30,2026-09-24 00:00:00+05:30,1:2,500.0,8%,Double ST 10x3+10x4,10000.0,10532.16,532.16,5.32,186.09,1.74,358.12,-186.09,144.83,-96.0,358.12,-186.09,71.43,28.57,3.77,76.02,7,5,2,0,3,1,2.5,1.0,2.86,15.37,24.86,1292.01,90.15,20.93,23.67,13.08,724.16,192.01
BTC/INR,5m,1951,2026-09-17 05:30:00+05:30,2026-09-24 00:00:00+05:30,1:3,500.0,8%,Double ST 10x3+10x4,10000.0,10532.16,532.16,5.32,186.09,1.74,358.12,-186.09,144.83,-96.0,358.12,-186.09,71.43,28.57,3.77,76.02,7,5,2,0,3,1,2.5,1.0,2.86,15.37,24.86,1292.01,90.15,20.93,23.67,13.08,724.16,192.01
BTC/INR,15m,5738,2026-07-26 05:30:00+05:30,2026-09-24 00:00:00+05:30,1:2,500.0,8%,Double ST 10x3+10x4,10000.0,9531.66,-468.34,-4.68,1313.37,12.31,380.33,-386.28,94.95,-83.59,380.33,-386.28,42.37,57.63,0.84,-7.94,59,25,34,0,4,4,1.67,2.12,-0.36,-2.1,-3.3,-2.09,82.94,20.17,23.5,1.5,2373.78,2842.13
BTC/INR,15m,5738,2026-07-26 05:30:00+05:30,2026-09-24 00:00:00+05:30,1:3,500.0,8%,Double ST 10x3+10x4,10000.0,9531.66,-468.34,-4.68,1313.37,12.31,380.33,-386.28,94.95,-83.59,380.33,-386.28,42.37,57.63,0.84,-7.94,59,25,34,0,4,4,1.67,2.12,-0.36,-2.1,-3.3,-2.09,82.94,20.17,23.5,1.5,2373.78,2842.13
BTC/INR,30m,2870,2026-07-26 05:30:00+05:30,2026-09-24 00:00:00+05:30,1:2,500.0,8%,Double ST 10x3+10x4,10000.0,9626.46,-373.54,-3.74,1367.18,12.9,356.76,-242.4,109.83,-90.61,356.76,-242.4,41.82,58.18,0.87,-6.79,55,23,32,0,5,5,1.92,2.46,-0.27,-1.6,-3.17,-1.63,67.1,17.5,24.0,2.0,2526.11,2899.66
BTC/INR,30m,2870,2026-07-26 05:30:00+05:30,2026-09-24 00:00:00+05:30,1:3,500.0,8%,Double ST 10x3+10x4,10000.0,9626.46,-373.54,-3.74,1367.18,12.9,356.76,-242.4,109.83,-90.61,356.76,-242.4,41.82,58.18,0.87,-6.79,55,23,32,0,5,5,1.92,2.46,-0.27,-1.6,-3.17,-1.63,67.1,17.5,24.0,2.0,2526.11,2899.66
BTC/INR,1h,17331,2024-09-23 23:30:00+05:30,2026-09-23 23:30:00+05:30,1:2,500.0,8%,Double ST 10x3+10x4,10000.0,3688.04,-6311.96,-63.12,8181.01,71.17,502.65,-511.05,74.2,-69.26,502.65,-511.05,41.08,58.92,0.75,-10.33,611,251,360,0,6,12,1.73,2.47,-0.77,-3.44,-5.26,-0.55,53.26,15.27,108.0,2.0,18622.96,24934.95
BTC/INR,1h,17331,2024-09-23 23:30:00+05:30,2026-09-23 23:30:00+05:30,1:3,500.0,8%,Double ST 10x3+10x4,10000.0,3688.04,-6311.96,-63.12,8181.01,71.17,502.65,-511.05,74.2,-69.26,502.65,-511.05,41.08,58.92,0.75,-10.33,611,251,360,0,6,12,1.73,2.47,-0.77,-3.44,-5.26,-0.55,53.26,15.27,108.0,2.0,18622.96,24934.95
ETH/INR,5m,1951,2026-09-17 05:30:00+05:30,2026-09-24 00:00:00+05:30,1:2,500.0,8%,Double ST 10x3+10x4,10000.0,9622.63,-377.37,-3.77,422.82,4.21,277.5,-422.82,115.78,-181.18,277.5,-422.82,42.86,57.14,0.48,-53.91,7,3,4,0,1,2,1.0,1.33,-0.89,-9.03,-10.72,-21.44,94.31,21.89,23.67,13.08,347.35,724.73
ETH/INR,5m,1951,2026-09-17 05:30:00+05:30,2026-09-24 00:00:00+05:30,1:3,500.0,8%,Double ST 10x3+10x4,10000.0,9622.63,-377.37,-3.77,422.82,4.21,277.5,-422.82,115.78,-181.18,277.5,-422.82,42.86,57.14,0.48,-53.91,7,3,4,0,1,2,1.0,1.33,-0.89,-9.03,-10.72,-21.44,94.31,21.89,23.67,13.08,347.35,724.73
