trade_no,coin,timeframe,direction,entry_time,exit_time,entry_price_usd,entry_price_inr,stop_price_usd,target_price_usd,exit_price_usd,exit_price_inr,exit_reason,risk_pct,risk_inr,position_size_coin,position_size_inr,gross_pnl_inr,fees_inr,net_pnl_inr,net_pnl,equity_before,equity_after
1,BTC/INR,1h,LONG,2024-09-26 21:30:00+05:30,2024-09-27 00:30:00+05:30,65506.05,5469754.78,60265.56,81227.5,65256.97,5448956.87,INTRADAY_SQUAREOFF,0.01,100.0,0.001143,6250.0,-23.76,7.36,-31.13,-31.13,10000.0,9968.87
2,BTC/INR,1h,LONG,2024-09-27 03:30:00+05:30,2024-09-28 00:30:00+05:30,65087.26,5434786.03,59880.28,80708.2,65859.9,5499301.43,INTRADAY_SQUAREOFF,0.01,99.69,0.00115,6250.0,74.19,7.42,66.77,66.77,9968.87,10035.65
3,BTC/INR,1h,LONG,2024-09-28 07:30:00+05:30,2024-09-29 00:30:00+05:30,66032.95,5513750.93,60750.31,81880.85,65681.21,5484381.31,INTRADAY_SQUAREOFF,0.01,100.36,0.001134,6250.0,-33.29,7.36,-40.65,-40.65,10035.65,9995.0
4,BTC/INR,1h,LONG,2024-09-29 05:30:00+05:30,2024-09-30 00:30:00+05:30,65981.37,5509444.62,60702.86,81816.9,65770.47,5491834.52,INTRADAY_SQUAREOFF,0.01,99.95,0.001134,6250.0,-19.98,7.36,-27.34,-27.34,9995.0,9967.66
5,BTC/INR,1h,SHORT,2024-09-30 12:30:00+05:30,2024-10-01 00:30:00+05:30,64333.27,5371828.4,69479.94,48893.29,63351.79,5289874.05,INTRADAY_SQUAREOFF,0.01,99.68,0.001163,6250.0,95.35,7.32,88.03,88.03,9967.66,10055.69
6,BTC/INR,1h,SHORT,2024-10-02 15:30:00+05:30,2024-10-03 00:30:00+05:30,61119.47,5103475.57,66009.03,46450.8,60811.97,5077799.4,INTRADAY_SQUAREOFF,0.01,100.56,0.001225,6250.0,31.44,7.36,24.09,24.09,10055.69,10079.78
7,BTC/INR,1h,SHORT,2024-10-03 13:30:00+05:30,2024-10-04 00:30:00+05:30,60862.06,5081982.14,65731.03,46255.17,60745.15,5072220.06,INTRADAY_SQUAREOFF,0.01,100.8,0.00123,6250.0,12.01,7.37,4.64,4.64,10079.78,10084.42
8,BTC/INR,1h,SHORT,2024-10-04 06:30:00+05:30,2024-10-05 00:30:00+05:30,60437.06,5046494.78,65272.03,45932.17,62360.88,5207133.78,INTRADAY_SQUAREOFF,0.01,100.84,0.001238,6250.0,-198.95,7.49,-206.44,-206.44,10084.42,9877.98
9,BTC/INR,1h,LONG,2024-10-05 11:30:00+05:30,2024-10-06 00:30:00+05:30,62169.24,5191131.29,57195.7,77089.85,61833.21,5163073.24,INTRADAY_SQUAREOFF,0.01,98.78,0.001204,6250.0,-33.78,7.36,-41.14,-41.14,9877.98,9836.84
10,BTC/INR,1h,LONG,2024-10-07 06:30:00+05:30,2024-10-08 00:30:00+05:30,63728.09,5321295.54,58629.84,79022.83,62809.52,5244595.0,INTRADAY_SQUAREOFF,0.01,98.37,0.001175,6250.0,-90.09,7.32,-97.41,-97.41,9836.84,9739.43
11,BTC/INR,1h,SHORT,2024-10-09 04:30:00+05:30,2024-10-10 00:30:00+05:30,62099.17,5185280.96,67067.11,47195.37,61167.65,5107499.15,INTRADAY_SQUAREOFF,0.01,97.39,0.001205,6250.0,93.75,7.32,86.43,86.43,9739.43,9825.87
12,BTC/INR,1h,SHORT,2024-10-10 06:30:00+05:30,2024-10-11 00:30:00+05:30,60321.22,5036821.77,65146.92,45844.13,59454.54,4964454.14,INTRADAY_SQUAREOFF,0.01,98.26,0.001241,6250.0,89.8,7.32,82.48,82.48,9825.87,9908.34
13,BTC/INR,1h,LONG,2024-10-11 23:30:00+05:30,2024-10-12 01:30:00+05:30,62940.76,5255553.73,57905.5,78046.55,63053.4,5264958.81,INTRADAY_SQUAREOFF,0.01,99.08,0.001189,6250.0,11.18,7.38,3.8,3.8,9908.34,9912.15
14,BTC/INR,1h,LONG,2024-10-12 06:30:00+05:30,2024-10-13 00:30:00+05:30,62860.31,5248835.8,57831.48,77946.78,62899.62,5252117.98,INTRADAY_SQUAREOFF,0.01,99.12,0.001191,6250.0,3.91,7.38,-3.47,-3.47,9912.15,9908.68
15,BTC/INR,1h,LONG,2024-10-14 13:30:00+05:30,2024-10-15 00:30:00+05:30,64632.37,5396802.92,59461.78,80144.14,65709.99,5486783.99,INTRADAY_SQUAREOFF,0.01,99.09,0.001158,6250.0,104.21,7.44,96.77,96.77,9908.68,10005.45
16,BTC/INR,1h,LONG,2024-10-15 04:30:00+05:30,2024-10-16 00:30:00+05:30,66468.08,5550085.07,61150.64,82420.42,66884.48,5584853.96,INTRADAY_SQUAREOFF,0.01,100.05,0.001126,6250.0,39.15,7.4,31.76,31.76,10005.45,10037.2
17,BTC/INR,1h,LONG,2024-10-16 05:30:00+05:30,2024-10-17 00:30:00+05:30,67143.01,5606441.16,61771.57,83257.33,67785.67,5660103.31,INTRADAY_SQUAREOFF,0.01,100.37,0.001115,6250.0,59.82,7.41,52.41,52.41,10037.2,10089.62
18,BTC/INR,1h,LONG,2024-10-17 04:30:00+05:30,2024-10-18 00:30:00+05:30,67864.77,5666708.04,62435.59,84152.31,66887.51,5585106.94,INTRADAY_SQUAREOFF,0.01,100.9,0.001103,6250.0,-90.0,7.32,-97.32,-97.32,10089.62,9992.29
19,BTC/INR,1h,LONG,2024-10-18 19:30:00+05:30,2024-10-19 00:30:00+05:30,68206.28,5695224.5,62749.78,84575.79,68838.36,5748003.1,INTRADAY_SQUAREOFF,0.01,99.92,0.001097,6250.0,57.92,7.41,50.51,50.51,9992.29,10042.8
20,BTC/INR,1h,LONG,2024-10-19 05:30:00+05:30,2024-10-20 00:30:00+05:30,68481.07,5718169.11,63002.58,84916.52,68140.85,5689760.98,INTRADAY_SQUAREOFF,0.01,100.43,0.001093,6250.0,-31.05,7.36,-38.41,-38.41,10042.8,10004.4
21,BTC/INR,1h,LONG,2024-10-20 12:30:00+05:30,2024-10-21 00:30:00+05:30,68422.0,5713236.88,62948.24,84843.28,68554.45,5724296.39,INTRADAY_SQUAREOFF,0.01,100.04,0.001094,6250.0,12.1,7.38,4.72,4.72,10004.4,10009.11
22,BTC/INR,1h,LONG,2024-10-21 02:30:00+05:30,2024-10-22 00:30:00+05:30,68920.19,5754836.11,63406.58,85461.04,67256.88,5615949.33,INTRADAY_SQUAREOFF,0.01,100.09,0.001086,6250.0,-150.84,7.29,-158.12,-158.12,10009.11,9850.99
23,BTC/INR,1h,SHORT,2024-10-22 05:30:00+05:30,2024-10-23 00:30:00+05:30,67325.13,5621647.96,72711.14,51167.1,67364.49,5624935.21,INTRADAY_SQUAREOFF,0.01,98.51,0.001112,6250.0,-3.65,7.38,-11.03,-11.03,9850.99,9839.96
24,BTC/INR,1h,SHORT,2024-10-23 05:30:00+05:30,2024-10-24 00:30:00+05:30,67255.1,5615800.67,72635.51,51113.87,65999.87,5510988.83,INTRADAY_SQUAREOFF,0.01,98.4,0.001113,6250.0,116.65,7.31,109.34,109.34,9839.96,9949.3
25,BTC/INR,1h,LONG,2024-10-24 17:30:00+05:30,2024-10-25 00:30:00+05:30,67261.31,5616319.31,61880.4,83404.02,67739.44,5656243.36,INTRADAY_SQUAREOFF,0.01,99.49,0.001113,6250.0,44.43,7.4,37.03,37.03,9949.3,9986.33
26,BTC/INR,1h,LONG,2024-10-25 08:30:00+05:30,2024-10-26 00:30:00+05:30,68062.09,5683184.7,62617.12,84396.99,66899.31,5586092.14,INTRADAY_SQUAREOFF,0.01,99.86,0.0011,6250.0,-106.78,7.31,-114.09,-114.09,9986.33,9872.24
27,BTC/INR,1h,SHORT,2024-10-26 04:30:00+05:30,2024-10-27 00:30:00+05:30,66510.81,5553652.31,71831.67,50548.21,66993.87,5593988.21,INTRADAY_SQUAREOFF,0.01,98.72,0.001125,6250.0,-45.39,7.4,-52.8,-52.8,9872.24,9819.44
28,BTC/INR,1h,SHORT,2024-10-27 04:30:00+05:30,2024-10-28 00:30:00+05:30,67005.21,5594934.8,72365.62,50923.96,67520.31,5637946.19,INTRADAY_SQUAREOFF,0.01,98.19,0.001117,6250.0,-48.05,7.4,-55.45,-55.45,9819.44,9763.99
29,BTC/INR,1h,LONG,2024-10-28 15:30:00+05:30,2024-10-29 00:30:00+05:30,68541.83,5723242.96,63058.49,84991.87,69144.02,5773525.68,INTRADAY_SQUAREOFF,0.01,97.64,0.001092,6250.0,54.91,7.41,47.5,47.5,9763.99,9811.5
30,BTC/INR,1h,LONG,2024-10-29 03:30:00+05:30,2024-10-30 00:30:00+05:30,69795.02,5827884.23,64211.42,86545.83,73124.99,6105936.63,INTRADAY_SQUAREOFF,0.01,98.11,0.001072,6250.0,298.19,7.55,290.64,290.64,9811.5,10102.14
31,BTC/INR,1h,LONG,2024-10-30 05:30:00+05:30,2024-10-31 00:30:00+05:30,72784.66,6077519.38,66961.89,90252.98,71903.65,6003954.56,INTRADAY_SQUAREOFF,0.01,101.02,0.001028,6250.0,-75.65,7.33,-82.98,-82.98,10102.14,10019.15
32,BTC/INR,1h,LONG,2024-10-31 02:30:00+05:30,2024-11-01 00:30:00+05:30,72850.25,6082995.93,67022.23,90334.31,70528.73,5889148.61,INTRADAY_SQUAREOFF,0.01,100.19,0.001027,6250.0,-199.17,7.26,-206.43,-206.43,10019.15,9812.73
33,BTC/INR,1h,SHORT,2024-11-01 07:30:00+05:30,2024-11-02 00:30:00+05:30,69266.61,5783761.7,74807.94,52642.62,69139.98,5773188.53,INTRADAY_SQUAREOFF,0.01,98.13,0.001081,6250.0,11.43,7.37,4.06,4.06,9812.73,9816.79
34,BTC/INR,1h,SHORT,2024-11-02 09:30:00+05:30,2024-11-03 00:30:00+05:30,69517.05,5804673.86,75078.42,52832.96,69443.31,5798516.04,INTRADAY_SQUAREOFF,0.01,98.17,0.001077,6250.0,6.63,7.37,-0.74,-0.74,9816.79,9816.04
35,BTC/INR,1h,SHORT,2024-11-03 03:30:00+05:30,2024-11-04 00:30:00+05:30,69404.59,5795282.85,74956.95,52747.48,68024.5,5680046.01,INTRADAY_SQUAREOFF,0.01,98.16,0.001078,6250.0,124.28,7.3,116.98,116.98,9816.04,9933.02
36,BTC/INR,1h,LONG,2024-11-04 18:30:00+05:30,2024-11-05 00:30:00+05:30,68967.11,5758754.08,63449.75,85519.22,67579.72,5642906.34,INTRADAY_SQUAREOFF,0.01,99.33,0.001085,6250.0,-125.73,7.3,-133.03,-133.03,9933.02,9799.99
37,BTC/INR,1h,LONG,2024-11-06 00:30:00+05:30,2024-11-07 00:30:00+05:30,70277.71,5868188.55,64655.49,87144.36,75266.79,6284777.22,INTRADAY_SQUAREOFF,0.01,98.0,0.001065,6250.0,443.69,7.64,436.06,436.06,9799.99,10236.05
38,BTC/INR,1h,LONG,2024-11-07 14:30:00+05:30,2024-11-08 00:30:00+05:30,75180.1,6277538.56,69165.69,93223.33,76623.19,6398036.59,INTRADAY_SQUAREOFF,0.01,102.36,0.000996,6250.0,119.97,7.45,112.52,112.52,10236.05,10348.57
39,BTC/INR,1h,LONG,2024-11-08 13:30:00+05:30,2024-11-09 00:30:00+05:30,76349.26,6375162.97,70241.32,94673.08,76872.92,6418888.76,INTRADAY_SQUAREOFF,0.01,103.49,0.00098,6250.0,42.87,7.4,35.47,35.47,10348.57,10384.04
40,BTC/INR,1h,LONG,2024-11-10 00:30:00+05:30,2024-11-11 00:30:00+05:30,76449.07,6383497.56,70333.15,94796.85,80563.15,6727023.14,INTRADAY_SQUAREOFF,0.01,103.84,0.000979,6250.0,336.34,7.57,328.77,328.77,10384.04,10712.81
41,BTC/INR,1h,LONG,2024-11-11 20:30:00+05:30,2024-11-12 00:30:00+05:30,82621.67,6898909.04,76011.93,102450.86,85844.0,7167974.15,INTRADAY_SQUAREOFF,0.01,107.13,0.000906,6250.0,243.76,7.52,236.24,236.24,10712.81,10949.04
42,BTC/INR,1h,LONG,2024-11-12 06:30:00+05:30,2024-11-13 00:30:00+05:30,89074.2,7437695.9,81948.27,110452.01,88881.65,7421617.47,INTRADAY_SQUAREOFF,0.01,109.49,0.00084,6250.0,-13.51,7.37,-20.88,-20.88,10949.04,10928.17
43,BTC/INR,1h,LONG,2024-11-13 13:30:00+05:30,2024-11-14 00:30:00+05:30,87586.8,7313498.03,80579.86,108607.64,92850.0,7752975.41,INTRADAY_SQUAREOFF,0.01,109.28,0.000855,6250.0,375.57,7.6,367.97,367.97,10928.17,11296.14
44,BTC/INR,1h,SHORT,2024-11-15 02:30:00+05:30,2024-11-16 00:30:00+05:30,87553.35,7310704.71,94557.62,66540.55,89411.43,7465854.69,INTRADAY_SQUAREOFF,0.01,112.96,0.000855,6250.0,-132.64,7.45,-140.09,-140.09,11296.14,11156.05
45,BTC/INR,1h,LONG,2024-11-17 00:30:00+05:30,2024-11-18 00:30:00+05:30,91454.13,7636420.18,84137.8,113403.13,89939.09,7509913.69,INTRADAY_SQUAREOFF,0.01,111.56,0.000818,6250.0,-103.54,7.31,-110.85,-110.85,11156.05,11045.19
46,BTC/INR,1h,SHORT,2024-11-18 02:30:00+05:30,2024-11-19 00:30:00+05:30,89561.62,7478395.16,96726.55,68066.83,90477.77,7554893.88,INTRADAY_SQUAREOFF,0.01,110.45,0.000836,6250.0,-63.93,7.41,-71.35,-71.35,11045.19,10973.85
47,BTC/INR,1h,LONG,2024-11-20 09:30:00+05:30,2024-11-21 00:30:00+05:30,92203.63,7699002.74,84827.34,114332.5,93740.32,7827316.5,INTRADAY_SQUAREOFF,0.01,109.74,0.000812,6250.0,104.16,7.44,96.73,96.73,10973.85,11070.58
48,BTC/INR,1h,LONG,2024-11-21 06:30:00+05:30,2024-11-22 00:30:00+05:30,95011.15,7933431.33,87410.26,117813.83,98311.62,8209019.98,INTRADAY_SQUAREOFF,0.01,110.71,0.000788,6250.0,217.11,7.5,209.61,209.61,11070.58,11280.18
49,BTC/INR,1h,LONG,2024-11-22 04:30:00+05:30,2024-11-23 00:30:00+05:30,98480.22,8223098.65,90601.81,122115.48,99153.8,8279342.03,INTRADAY_SQUAREOFF,0.01,112.8,0.00076,6250.0,42.75,7.4,35.35,35.35,11280.18,11315.53
50,BTC/INR,1h,SHORT,2024-11-24 09:30:00+05:30,2024-11-25 00:30:00+05:30,98183.52,8198324.28,106038.21,74619.48,96638.71,8069332.22,INTRADAY_SQUAREOFF,0.01,113.16,0.000762,6250.0,98.34,7.32,91.02,91.02,11315.53,11406.55
51,BTC/INR,1h,SHORT,2024-11-26 03:30:00+05:30,2024-11-27 00:30:00+05:30,93667.03,7821197.31,101160.4,71186.95,92229.11,7701130.45,INTRADAY_SQUAREOFF,0.01,114.07,0.000799,6250.0,95.95,7.32,88.63,88.63,11406.55,11495.18
52,BTC/INR,1h,SHORT,2024-11-27 17:30:00+05:30,2024-11-28 00:30:00+05:30,93295.43,7790168.45,100759.06,70904.53,96273.29,8038819.91,INTRADAY_SQUAREOFF,0.01,114.95,0.000802,6250.0,-199.49,7.49,-206.98,-206.98,11495.18,11288.2
53,BTC/INR,1h,LONG,2024-11-28 06:30:00+05:30,2024-11-29 00:30:00+05:30,96698.53,8074327.11,88962.65,119906.18,95256.78,7953940.92,INTRADAY_SQUAREOFF,0.01,112.88,0.000774,6250.0,-93.19,7.32,-100.51,-100.51,11288.2,11187.69
54,BTC/INR,1h,LONG,2024-11-29 04:30:00+05:30,2024-11-30 00:30:00+05:30,95708.02,7991619.47,88051.38,118677.94,97203.99,8116533.24,INTRADAY_SQUAREOFF,0.01,111.88,0.000782,6250.0,97.69,7.43,90.26,90.26,11187.69,11277.95
55,BTC/INR,1h,LONG,2024-12-02 03:30:00+05:30,2024-12-03 00:30:00+05:30,97884.31,8173339.74,90053.56,121376.54,95695.71,7990592.13,INTRADAY_SQUAREOFF,0.01,112.78,0.000765,6250.0,-139.74,7.29,-147.04,-147.04,11277.95,11130.91
