trade_no,coin,timeframe,direction,entry_time,exit_time,entry_price_usd,entry_price_inr,stop_price_usd,target_price_usd,exit_price_usd,exit_price_inr,exit_reason,risk_pct,risk_inr,position_size_coin,position_size_inr,gross_pnl_inr,fees_inr,net_pnl_inr,net_pnl,equity_before,equity_after
1,BTC/INR,30m,LONG,2026-07-27 09:00:00+05:30,2026-07-28 00:00:00+05:30,65317.87,5454042.4,60092.44,80994.16,64825.58,5412936.16,INTRADAY_SQUAREOFF,0.01,100.0,0.001146,6250.0,-47.11,7.35,-54.45,-54.45,10000.0,9945.55
2,BTC/INR,30m,SHORT,2026-07-28 03:00:00+05:30,2026-07-29 00:00:00+05:30,64724.58,5404502.64,69902.55,49190.68,63660.97,5315691.39,INTRADAY_SQUAREOFF,0.01,99.46,0.001156,6250.0,102.71,7.31,95.39,95.39,9945.55,10040.94
3,BTC/INR,30m,LONG,2026-07-29 05:30:00+05:30,2026-07-30 00:00:00+05:30,63907.83,5336303.69,58795.2,79245.71,63993.57,5343462.71,INTRADAY_SQUAREOFF,0.01,100.41,0.001171,6250.0,8.38,7.38,1.0,1.0,10040.94,10041.94
4,BTC/INR,30m,SHORT,2026-07-30 01:30:00+05:30,2026-07-31 00:00:00+05:30,63446.98,5297822.78,68522.74,48219.7,64765.6,5407928.01,INTRADAY_SQUAREOFF,0.01,100.42,0.00118,6250.0,-129.89,7.45,-137.35,-137.35,10041.94,9904.6
5,BTC/INR,30m,LONG,2026-07-31 01:00:00+05:30,2026-08-01 00:00:00+05:30,64871.72,5416788.66,59681.98,80440.93,62959.32,5257103.63,INTRADAY_SQUAREOFF,0.01,99.05,0.001154,6250.0,-184.25,7.27,-191.51,-191.51,9904.6,9713.08
6,BTC/INR,30m,SHORT,2026-08-01 05:30:00+05:30,2026-08-02 00:00:00+05:30,62772.69,5241519.43,67794.5,47707.24,62534.75,5221651.77,INTRADAY_SQUAREOFF,0.01,97.13,0.001192,6250.0,23.69,7.36,16.33,16.33,9713.08,9729.41
7,BTC/INR,30m,LONG,2026-08-02 10:00:00+05:30,2026-08-03 00:00:00+05:30,63524.86,5304325.47,58442.87,78770.82,63188.89,5276272.29,INTRADAY_SQUAREOFF,0.01,97.29,0.001178,6250.0,-33.05,7.36,-40.41,-40.41,9729.41,9689.0
8,BTC/INR,30m,SHORT,2026-08-03 09:00:00+05:30,2026-08-04 00:00:00+05:30,62951.52,5256451.94,67987.64,47843.16,63829.22,5329739.78,INTRADAY_SQUAREOFF,0.01,96.89,0.001189,6250.0,-87.14,7.43,-94.57,-94.57,9689.0,9594.44
9,BTC/INR,30m,LONG,2026-08-04 07:30:00+05:30,2026-08-05 00:00:00+05:30,63888.85,5334719.0,58777.74,79222.17,64288.82,5368116.47,INTRADAY_SQUAREOFF,0.01,95.94,0.001172,6250.0,39.13,7.4,31.73,31.73,9594.44,9626.16
10,BTC/INR,30m,LONG,2026-08-05 02:30:00+05:30,2026-08-06 00:00:00+05:30,64399.03,5377319.42,59247.11,79854.8,64624.67,5396160.07,INTRADAY_SQUAREOFF,0.01,96.26,0.001162,6250.0,21.9,7.39,14.51,14.51,9626.16,9640.68
