trade_no,coin,timeframe,direction,entry_time,exit_time,entry_price_usd,entry_price_inr,stop_price_usd,target_price_usd,exit_price_usd,exit_price_inr,exit_reason,risk_pct,risk_inr,position_size_coin,position_size_inr,gross_pnl_inr,fees_inr,net_pnl_inr,net_pnl,equity_before,equity_after
1,SOL/INR,15m,LONG,2026-07-26 19:15:00+05:30,2026-07-27 00:00:00+05:30,74.93,6256.44,68.93,86.92,75.25,6283.57,INTRADAY_SQUAREOFF,0.01,100.0,0.99897,6250.0,27.1,7.39,19.71,19.71,10000.0,10019.71
2,SOL/INR,15m,LONG,2026-07-27 03:45:00+05:30,2026-07-28 00:00:00+05:30,76.14,6357.53,70.05,88.32,75.52,6306.11,INTRADAY_SQUAREOFF,0.01,100.2,0.983087,6250.0,-50.55,7.35,-57.9,-57.9,10019.71,9961.81
3,SOL/INR,15m,SHORT,2026-07-28 03:00:00+05:30,2026-07-29 00:00:00+05:30,75.47,6301.93,81.51,63.4,73.8,6162.04,INTRADAY_SQUAREOFF,0.01,99.62,0.991759,6250.0,138.74,7.29,131.45,131.45,9961.81,10093.26
4,SOL/INR,15m,LONG,2026-07-29 01:00:00+05:30,2026-07-30 00:00:00+05:30,74.04,6182.09,68.11,85.88,73.81,6163.39,INTRADAY_SQUAREOFF,0.01,100.93,1.010985,6250.0,-18.9,7.36,-26.27,-26.27,10093.26,10066.99
5,SOL/INR,15m,SHORT,2026-07-30 02:30:00+05:30,2026-07-31 00:00:00+05:30,72.49,6053.23,78.29,60.89,74.71,6238.06,INTRADAY_SQUAREOFF,0.01,100.67,1.032507,6250.0,-190.84,7.49,-198.33,-198.33,10066.99,9868.66
6,SOL/INR,15m,LONG,2026-07-31 00:45:00+05:30,2026-08-01 00:00:00+05:30,74.74,6240.57,68.76,86.7,73.09,6103.3,INTRADAY_SQUAREOFF,0.01,98.69,1.001511,6250.0,-137.47,7.29,-144.77,-144.77,9868.66,9723.89
7,SOL/INR,15m,SHORT,2026-08-01 02:30:00+05:30,2026-08-02 00:00:00+05:30,72.82,6080.77,78.65,61.17,71.48,5968.22,INTRADAY_SQUAREOFF,0.01,97.24,1.027831,6250.0,115.68,7.31,108.37,108.37,9723.89,9832.26
8,SOL/INR,15m,LONG,2026-08-02 08:30:00+05:30,2026-08-03 00:00:00+05:30,73.12,6105.23,67.27,84.82,73.27,6118.32,INTRADAY_SQUAREOFF,0.01,98.32,1.023712,6250.0,13.4,7.38,6.02,6.02,9832.26,9838.29
9,SOL/INR,15m,SHORT,2026-08-03 09:15:00+05:30,2026-08-04 00:00:00+05:30,72.82,6080.77,78.65,61.17,73.95,6174.57,INTRADAY_SQUAREOFF,0.01,98.38,1.027831,6250.0,-96.41,7.43,-103.85,-103.85,9838.29,9734.44
10,SOL/INR,15m,LONG,2026-08-04 09:15:00+05:30,2026-08-05 00:00:00+05:30,73.73,6156.19,67.83,85.52,74.22,6197.61,INTRADAY_SQUAREOFF,0.01,97.34,1.015238,6250.0,42.05,7.4,34.65,34.65,9734.44,9769.09
