trade_no,coin,timeframe,direction,entry_time,exit_time,entry_price_usd,entry_price_inr,stop_price_usd,target_price_usd,exit_price_usd,exit_price_inr,exit_reason,risk_pct,risk_inr,position_size_coin,position_size_inr,gross_pnl_inr,fees_inr,net_pnl_inr,net_pnl,equity_before,equity_after
1,BTC/INR,15m,LONG,2026-07-26 21:00:00+05:30,2026-07-27 00:00:00+05:30,64758.76,5407356.6,59578.06,80300.86,64601.67,5394239.55,INTRADAY_SQUAREOFF,0.015,150.0,0.000347,1875.0,-4.55,2.21,-6.76,-6.76,10000.0,9993.24
2,BTC/INR,15m,LONG,2026-07-27 03:00:00+05:30,2026-07-28 00:00:00+05:30,64830.89,5413379.11,59644.42,80390.3,64825.58,5412936.16,INTRADAY_SQUAREOFF,0.015,149.9,0.000346,1873.73,-0.15,2.21,-2.36,-2.36,9993.24,9990.88
3,BTC/INR,15m,SHORT,2026-07-28 03:00:00+05:30,2026-07-29 00:00:00+05:30,64724.58,5404502.64,69902.55,49190.68,63660.97,5315691.39,INTRADAY_SQUAREOFF,0.015,149.86,0.000347,1873.29,30.78,2.19,28.59,28.59,9990.88,10019.47
4,BTC/INR,15m,LONG,2026-07-29 01:30:00+05:30,2026-07-30 00:00:00+05:30,63862.36,5332506.78,58753.37,79189.32,63993.57,5343462.71,INTRADAY_SQUAREOFF,0.015,150.29,0.000352,1878.65,3.86,2.22,1.64,1.64,10019.47,10021.11
5,BTC/INR,15m,SHORT,2026-07-30 06:15:00+05:30,2026-07-31 00:00:00+05:30,63576.77,5308660.62,68662.92,48318.35,64765.6,5407928.01,INTRADAY_SQUAREOFF,0.015,150.32,0.000354,1878.96,-35.13,2.24,-37.37,-37.37,10021.11,9983.74
6,BTC/INR,15m,LONG,2026-07-31 00:45:00+05:30,2026-08-01 00:00:00+05:30,64827.35,5413083.45,59641.16,80385.91,62959.32,5257103.63,INTRADAY_SQUAREOFF,0.015,149.76,0.000346,1871.95,-53.94,2.18,-56.12,-56.12,9983.74,9927.62
7,BTC/INR,15m,SHORT,2026-08-01 04:00:00+05:30,2026-08-02 00:00:00+05:30,62886.97,5251062.03,67917.93,47794.1,62534.75,5221651.77,INTRADAY_SQUAREOFF,0.015,148.91,0.000354,1861.43,10.43,2.19,8.24,8.24,9927.62,9935.85
8,BTC/INR,15m,SHORT,2026-08-02 01:15:00+05:30,2026-08-03 00:00:00+05:30,62362.29,5207251.34,67351.27,47395.34,63252.11,5281551.21,INTRADAY_SQUAREOFF,0.015,149.04,0.000358,1862.97,-26.58,2.21,-28.8,-28.8,9935.85,9907.06
9,BTC/INR,15m,LONG,2026-08-03 01:15:00+05:30,2026-08-04 00:00:00+05:30,63357.16,5290323.09,58288.59,78562.88,63765.42,5324412.71,INTRADAY_SQUAREOFF,0.015,148.61,0.000351,1857.57,11.97,2.2,9.77,9.77,9907.06,9916.83
10,BTC/INR,15m,LONG,2026-08-04 08:15:00+05:30,2026-08-05 00:00:00+05:30,63932.81,5338389.62,58818.19,79276.68,64288.82,5368116.47,INTRADAY_SQUAREOFF,0.015,148.75,0.000348,1859.41,10.35,2.2,8.15,8.15,9916.83,9924.98
11,BTC/INR,15m,LONG,2026-08-05 01:15:00+05:30,2026-08-06 00:00:00+05:30,64390.58,5376613.23,59239.33,79844.32,64624.67,5396160.07,INTRADAY_SQUAREOFF,0.015,148.87,0.000346,1860.93,6.77,2.2,4.57,4.57,9924.98,9929.55
12,BTC/INR,15m,LONG,2026-08-06 00:45:00+05:30,2026-08-07 00:00:00+05:30,64893.97,5418646.48,59702.45,80468.52,64426.5,5379612.84,INTRADAY_SQUAREOFF,0.015,148.94,0.000344,1861.79,-13.41,2.19,-15.6,-15.6,9929.55,9913.95
13,BTC/INR,15m,LONG,2026-08-07 01:45:00+05:30,2026-08-08 00:00:00+05:30,64511.56,5386715.26,59350.64,79994.33,64730.86,5405026.53,INTRADAY_SQUAREOFF,0.015,148.71,0.000345,1858.87,6.32,2.2,4.12,4.12,9913.95,9918.07
14,BTC/INR,15m,LONG,2026-08-08 22:30:00+05:30,2026-08-09 00:00:00+05:30,65078.01,5434013.92,59871.77,80696.73,64958.08,5423999.26,INTRADAY_SQUAREOFF,0.015,148.77,0.000342,1859.64,-3.43,2.19,-5.62,-5.62,9918.07,9912.45
15,BTC/INR,15m,SHORT,2026-08-09 07:00:00+05:30,2026-08-10 00:00:00+05:30,64772.84,5408531.78,69954.66,49227.36,65199.33,5444144.34,INTRADAY_SQUAREOFF,0.015,148.69,0.000344,1858.58,-12.24,2.2,-14.44,-14.44,9912.45,9898.01
16,BTC/INR,15m,SHORT,2026-08-10 05:00:00+05:30,2026-08-11 00:00:00+05:30,64819.84,5412456.92,70005.43,49263.08,63838.41,5330507.65,INTRADAY_SQUAREOFF,0.015,148.47,0.000343,1855.88,28.1,2.17,25.93,25.93,9898.01,9923.94
17,BTC/INR,15m,SHORT,2026-08-11 03:15:00+05:30,2026-08-12 00:00:00+05:30,63934.21,5338506.39,69048.94,48590.0,63435.77,5296886.99,INTRADAY_SQUAREOFF,0.015,148.86,0.000349,1860.74,14.51,2.19,12.32,12.32,9923.94,9936.26
18,BTC/INR,15m,SHORT,2026-08-12 00:45:00+05:30,2026-08-13 00:00:00+05:30,63135.88,5271845.75,68186.75,47983.27,63389.21,5292999.04,INTRADAY_SQUAREOFF,0.015,149.04,0.000353,1863.05,-7.48,2.2,-9.68,-9.68,9936.26,9926.58
19,BTC/INR,15m,SHORT,2026-08-13 00:30:00+05:30,2026-08-14 00:00:00+05:30,63268.53,5282922.22,68330.01,48084.08,63092.36,5268211.94,INTRADAY_SQUAREOFF,0.015,148.9,0.000352,1861.23,5.18,2.19,2.99,2.99,9926.58,9929.57
20,BTC/INR,15m,SHORT,2026-08-14 02:15:00+05:30,2026-08-15 00:00:00+05:30,63308.35,5286247.19,68373.02,48114.35,62983.98,5259162.02,INTRADAY_SQUAREOFF,0.015,148.94,0.000352,1861.79,9.54,2.19,7.35,7.35,9929.57,9936.92
21,BTC/INR,15m,LONG,2026-08-15 01:00:00+05:30,2026-08-16 00:00:00+05:30,62894.23,5251668.39,57862.69,77988.85,62943.74,5255802.53,INTRADAY_SQUAREOFF,0.015,149.05,0.000355,1863.17,1.47,2.2,-0.73,-0.73,9936.92,9936.18
22,BTC/INR,15m,LONG,2026-08-16 00:30:00+05:30,2026-08-17 00:00:00+05:30,63021.39,5262285.7,57979.67,78146.52,63060.13,5265520.52,INTRADAY_SQUAREOFF,0.015,149.04,0.000354,1863.03,1.15,2.2,-1.05,-1.05,9936.18,9935.13
23,BTC/INR,15m,SHORT,2026-08-17 01:30:00+05:30,2026-08-18 00:00:00+05:30,62993.78,5259980.33,68033.28,47875.27,64491.96,5385078.69,INTRADAY_SQUAREOFF,0.015,149.03,0.000354,1862.84,-44.3,2.22,-46.53,-46.53,9935.13,9888.6
24,BTC/INR,15m,LONG,2026-08-18 02:00:00+05:30,2026-08-19 00:00:00+05:30,64409.24,5378171.48,59256.5,79867.46,64727.33,5404732.15,INTRADAY_SQUAREOFF,0.015,148.33,0.000345,1854.11,9.16,2.19,6.96,6.96,9888.6,9895.57
25,BTC/INR,15m,LONG,2026-08-19 01:00:00+05:30,2026-08-20 00:00:00+05:30,64795.43,5410418.6,59611.8,80346.34,68208.16,5695381.37,INTRADAY_SQUAREOFF,0.015,148.43,0.000343,1855.42,97.72,2.25,95.48,95.48,9895.57,9991.04
26,BTC/INR,15m,LONG,2026-08-20 03:00:00+05:30,2026-08-21 00:00:00+05:30,69766.16,5825474.57,64184.87,86510.04,72624.19,6064120.13,INTRADAY_SQUAREOFF,0.015,149.87,0.000322,1873.32,76.74,2.26,74.49,74.49,9991.04,10065.53
27,BTC/INR,15m,LONG,2026-08-21 01:15:00+05:30,2026-08-22 00:00:00+05:30,72802.57,6079014.64,66978.36,90275.19,77321.39,6456336.09,INTRADAY_SQUAREOFF,0.015,150.98,0.00031,1887.29,117.14,2.3,114.85,114.85,10065.53,10180.37
