trade_no,coin,timeframe,direction,entry_time,exit_time,entry_price_usd,entry_price_inr,stop_price_usd,target_price_usd,exit_price_usd,exit_price_inr,exit_reason,risk_pct,risk_inr,position_size_coin,position_size_inr,gross_pnl_inr,fees_inr,net_pnl_inr,net_pnl,equity_before,equity_after
1,BTC/INR,1h,LONG,2024-09-26 21:30:00+05:30,2024-09-27 00:30:00+05:30,65506.05,5469754.78,60265.56,81227.5,65256.97,5448956.87,INTRADAY_SQUAREOFF,0.015,150.0,0.000343,1875.0,-7.13,2.21,-9.34,-9.34,10000.0,9990.66
2,BTC/INR,1h,LONG,2024-09-27 03:30:00+05:30,2024-09-28 00:30:00+05:30,65087.26,5434786.03,59880.28,80708.2,65859.9,5499301.43,INTRADAY_SQUAREOFF,0.015,149.86,0.000345,1873.25,22.24,2.22,20.01,20.01,9990.66,10010.68
3,BTC/INR,1h,LONG,2024-09-28 07:30:00+05:30,2024-09-29 00:30:00+05:30,66032.95,5513750.93,60750.31,81880.85,65681.21,5484381.31,INTRADAY_SQUAREOFF,0.015,150.16,0.00034,1877.0,-10.0,2.21,-12.21,-12.21,10010.68,9998.47
4,BTC/INR,1h,LONG,2024-09-29 05:30:00+05:30,2024-09-30 00:30:00+05:30,65981.37,5509444.62,60702.86,81816.9,65770.47,5491834.52,INTRADAY_SQUAREOFF,0.015,149.98,0.00034,1874.71,-5.99,2.21,-8.2,-8.2,9998.47,9990.27
5,BTC/INR,1h,SHORT,2024-09-30 12:30:00+05:30,2024-10-01 00:30:00+05:30,64333.27,5371828.4,69479.94,48893.29,63351.79,5289874.05,INTRADAY_SQUAREOFF,0.015,149.85,0.000349,1873.18,28.58,2.19,26.38,26.38,9990.27,10016.65
6,BTC/INR,1h,SHORT,2024-10-02 15:30:00+05:30,2024-10-03 00:30:00+05:30,61119.47,5103475.57,66009.03,46450.8,60811.97,5077799.4,INTRADAY_SQUAREOFF,0.015,150.25,0.000368,1878.12,9.45,2.21,7.24,7.24,10016.65,10023.89
7,BTC/INR,1h,SHORT,2024-10-03 13:30:00+05:30,2024-10-04 00:30:00+05:30,60862.06,5081982.14,65731.03,46255.17,60745.15,5072220.06,INTRADAY_SQUAREOFF,0.015,150.36,0.00037,1879.48,3.61,2.22,1.39,1.39,10023.89,10025.29
8,BTC/INR,1h,SHORT,2024-10-04 06:30:00+05:30,2024-10-05 00:30:00+05:30,60437.06,5046494.78,65272.03,45932.17,62360.88,5207133.78,INTRADAY_SQUAREOFF,0.015,150.38,0.000372,1879.74,-59.84,2.25,-62.09,-62.09,10025.29,9963.2
9,BTC/INR,1h,LONG,2024-10-05 11:30:00+05:30,2024-10-06 00:30:00+05:30,62169.24,5191131.29,57195.7,77089.85,61833.21,5163073.24,INTRADAY_SQUAREOFF,0.015,149.45,0.00036,1868.1,-10.1,2.2,-12.3,-12.3,9963.2,9950.9
10,BTC/INR,1h,LONG,2024-10-07 06:30:00+05:30,2024-10-08 00:30:00+05:30,63728.09,5321295.54,58629.84,79022.83,62809.52,5244595.0,INTRADAY_SQUAREOFF,0.015,149.26,0.000351,1865.79,-26.89,2.19,-29.08,-29.08,9950.9,9921.82
11,BTC/INR,1h,SHORT,2024-10-09 04:30:00+05:30,2024-10-10 00:30:00+05:30,62099.17,5185280.96,67067.11,47195.37,61167.65,5107499.15,INTRADAY_SQUAREOFF,0.015,148.83,0.000359,1860.34,27.91,2.18,25.73,25.73,9921.82,9947.55
12,BTC/INR,1h,SHORT,2024-10-10 06:30:00+05:30,2024-10-11 00:30:00+05:30,60321.22,5036821.77,65146.92,45844.13,59454.54,4964454.14,INTRADAY_SQUAREOFF,0.015,149.21,0.00037,1865.17,26.8,2.19,24.61,24.61,9947.55,9972.16
13,BTC/INR,1h,LONG,2024-10-11 23:30:00+05:30,2024-10-12 01:30:00+05:30,62940.76,5255553.73,57905.5,78046.55,63053.4,5264958.81,INTRADAY_SQUAREOFF,0.015,149.58,0.000356,1869.78,3.35,2.21,1.14,1.14,9972.16,9973.3
14,BTC/INR,1h,LONG,2024-10-12 06:30:00+05:30,2024-10-13 00:30:00+05:30,62860.31,5248835.8,57831.48,77946.78,62899.62,5252117.98,INTRADAY_SQUAREOFF,0.015,149.6,0.000356,1869.99,1.17,2.21,-1.04,-1.04,9973.3,9972.26
