trade_no,coin,timeframe,direction,entry_time,exit_time,entry_price_usd,entry_price_inr,stop_price_usd,target_price_usd,exit_price_usd,exit_price_inr,exit_reason,risk_pct,risk_inr,position_size_coin,position_size_inr,gross_pnl_inr,fees_inr,net_pnl_inr,net_pnl,equity_before,equity_after
1,BTC/INR,1h,LONG,2024-09-26 21:30:00+05:30,2024-09-27 00:30:00+05:30,65506.05,5469754.78,60265.56,81227.5,65256.97,5448956.87,INTRADAY_SQUAREOFF,0.02,200.0,0.000457,2500.0,-9.51,2.94,-12.45,-12.45,10000.0,9987.55
2,BTC/INR,1h,LONG,2024-09-27 03:30:00+05:30,2024-09-28 00:30:00+05:30,65087.26,5434786.03,59880.28,80708.2,65859.9,5499301.43,INTRADAY_SQUAREOFF,0.02,199.75,0.000459,2496.89,29.64,2.96,26.68,26.68,9987.55,10014.23
3,BTC/INR,1h,LONG,2024-09-28 07:30:00+05:30,2024-09-29 00:30:00+05:30,66032.95,5513750.93,60750.31,81880.85,65681.21,5484381.31,INTRADAY_SQUAREOFF,0.02,200.28,0.000454,2503.56,-13.34,2.95,-16.28,-16.28,10014.23,9997.94
4,BTC/INR,1h,LONG,2024-09-29 05:30:00+05:30,2024-09-30 00:30:00+05:30,65981.37,5509444.62,60702.86,81816.9,65770.47,5491834.52,INTRADAY_SQUAREOFF,0.02,199.96,0.000454,2499.49,-7.99,2.94,-10.93,-10.93,9997.94,9987.01
5,BTC/INR,1h,SHORT,2024-09-30 12:30:00+05:30,2024-10-01 00:30:00+05:30,64333.27,5371828.4,69479.94,48893.29,63351.79,5289874.05,INTRADAY_SQUAREOFF,0.02,199.74,0.000465,2496.75,38.09,2.92,35.17,35.17,9987.01,10022.18
6,BTC/INR,1h,SHORT,2024-10-02 15:30:00+05:30,2024-10-03 00:30:00+05:30,61119.47,5103475.57,66009.03,46450.8,60811.97,5077799.4,INTRADAY_SQUAREOFF,0.02,200.44,0.000491,2505.54,12.61,2.95,9.66,9.66,10022.18,10031.83
7,BTC/INR,1h,SHORT,2024-10-03 13:30:00+05:30,2024-10-04 00:30:00+05:30,60862.06,5081982.14,65731.03,46255.17,60745.15,5072220.06,INTRADAY_SQUAREOFF,0.02,200.64,0.000494,2507.96,4.82,2.96,1.86,1.86,10031.83,10033.7
8,BTC/INR,1h,SHORT,2024-10-04 06:30:00+05:30,2024-10-05 00:30:00+05:30,60437.06,5046494.78,65272.03,45932.17,62360.88,5207133.78,INTRADAY_SQUAREOFF,0.02,200.67,0.000497,2508.42,-79.85,3.01,-82.85,-82.85,10033.7,9950.84
9,BTC/INR,1h,LONG,2024-10-05 11:30:00+05:30,2024-10-06 00:30:00+05:30,62169.24,5191131.29,57195.7,77089.85,61833.21,5163073.24,INTRADAY_SQUAREOFF,0.02,199.02,0.000479,2487.71,-13.45,2.93,-16.37,-16.37,9950.84,9934.47
10,BTC/INR,1h,LONG,2024-10-07 06:30:00+05:30,2024-10-08 00:30:00+05:30,63728.09,5321295.54,58629.84,79022.83,62809.52,5244595.0,INTRADAY_SQUAREOFF,0.02,198.69,0.000467,2483.62,-35.8,2.91,-38.71,-38.71,9934.47,9895.76
11,BTC/INR,1h,SHORT,2024-10-09 04:30:00+05:30,2024-10-10 00:30:00+05:30,62099.17,5185280.96,67067.11,47195.37,61167.65,5107499.15,INTRADAY_SQUAREOFF,0.02,197.92,0.000477,2473.94,37.11,2.9,34.21,34.21,9895.76,9929.97
12,BTC/INR,1h,SHORT,2024-10-10 06:30:00+05:30,2024-10-11 00:30:00+05:30,60321.22,5036821.77,65146.92,45844.13,59454.54,4964454.14,INTRADAY_SQUAREOFF,0.02,198.6,0.000493,2482.49,35.67,2.91,32.76,32.76,9929.97,9962.73
13,BTC/INR,1h,LONG,2024-10-11 23:30:00+05:30,2024-10-12 01:30:00+05:30,62940.76,5255553.73,57905.5,78046.55,63053.4,5264958.81,INTRADAY_SQUAREOFF,0.02,199.25,0.000474,2490.68,4.46,2.94,1.52,1.52,9962.73,9964.25
14,BTC/INR,1h,LONG,2024-10-12 06:30:00+05:30,2024-10-13 00:30:00+05:30,62860.31,5248835.8,57831.48,77946.78,62899.62,5252117.98,INTRADAY_SQUAREOFF,0.02,199.28,0.000475,2491.06,1.56,2.94,-1.38,-1.38,9964.25,9962.86
15,BTC/INR,1h,LONG,2024-10-14 13:30:00+05:30,2024-10-15 00:30:00+05:30,64632.37,5396802.92,59461.78,80144.14,65709.99,5486783.99,INTRADAY_SQUAREOFF,0.02,199.26,0.000462,2490.72,41.53,2.96,38.56,38.56,9962.86,10001.43
16,BTC/INR,1h,LONG,2024-10-15 04:30:00+05:30,2024-10-16 00:30:00+05:30,66468.08,5550085.07,61150.64,82420.42,66884.48,5584853.96,INTRADAY_SQUAREOFF,0.02,200.03,0.000451,2500.36,15.66,2.96,12.7,12.7,10001.43,10014.13
