trade_no,coin,timeframe,direction,entry_time,exit_time,entry_price_usd,entry_price_inr,stop_price_usd,target_price_usd,exit_price_usd,exit_price_inr,exit_reason,risk_pct,risk_inr,position_size_coin,position_size_inr,gross_pnl_inr,fees_inr,net_pnl_inr,net_pnl,equity_before,equity_after
1,BTC/INR,30m,LONG,2026-07-27 09:00:00+05:30,2026-07-28 00:00:00+05:30,65317.87,5454042.4,60092.44,80994.16,64825.58,5412936.16,INTRADAY_SQUAREOFF,0.02,200.0,0.000458,2500.0,-18.84,2.94,-21.78,-21.78,10000.0,9978.22
2,BTC/INR,30m,SHORT,2026-07-28 03:00:00+05:30,2026-07-29 00:00:00+05:30,64724.58,5404502.64,69902.55,49190.68,63660.97,5315691.39,INTRADAY_SQUAREOFF,0.02,199.56,0.000462,2494.55,40.99,2.92,38.07,38.07,9978.22,10016.29
3,BTC/INR,30m,LONG,2026-07-29 05:30:00+05:30,2026-07-30 00:00:00+05:30,63907.83,5336303.69,58795.2,79245.71,63993.57,5343462.71,INTRADAY_SQUAREOFF,0.02,200.33,0.000469,2504.07,3.36,2.96,0.4,0.4,10016.29,10016.69
4,BTC/INR,30m,SHORT,2026-07-30 01:30:00+05:30,2026-07-31 00:00:00+05:30,63446.98,5297822.78,68522.74,48219.7,64765.6,5407928.01,INTRADAY_SQUAREOFF,0.02,200.33,0.000473,2504.17,-52.04,2.99,-55.03,-55.03,10016.69,9961.66
5,BTC/INR,30m,LONG,2026-07-31 01:00:00+05:30,2026-08-01 00:00:00+05:30,64871.72,5416788.66,59681.98,80440.93,62959.32,5257103.63,INTRADAY_SQUAREOFF,0.02,199.23,0.00046,2490.42,-73.42,2.9,-76.31,-76.31,9961.66,9885.35
6,BTC/INR,30m,SHORT,2026-08-01 05:30:00+05:30,2026-08-02 00:00:00+05:30,62772.69,5241519.43,67794.5,47707.24,62534.75,5221651.77,INTRADAY_SQUAREOFF,0.02,197.71,0.000471,2471.34,9.37,2.91,6.46,6.46,9885.35,9891.81
7,BTC/INR,30m,LONG,2026-08-02 10:00:00+05:30,2026-08-03 00:00:00+05:30,63524.86,5304325.47,58442.87,78770.82,63188.89,5276272.29,INTRADAY_SQUAREOFF,0.02,197.84,0.000466,2472.95,-13.08,2.91,-15.99,-15.99,9891.81,9875.82
8,BTC/INR,30m,SHORT,2026-08-03 09:00:00+05:30,2026-08-04 00:00:00+05:30,62951.52,5256451.94,67987.64,47843.16,63829.22,5329739.78,INTRADAY_SQUAREOFF,0.02,197.52,0.00047,2468.96,-34.42,2.93,-37.36,-37.36,9875.82,9838.46
9,BTC/INR,30m,LONG,2026-08-04 07:30:00+05:30,2026-08-05 00:00:00+05:30,63888.85,5334719.0,58777.74,79222.17,64288.82,5368116.47,INTRADAY_SQUAREOFF,0.02,196.77,0.000461,2459.62,15.4,2.91,12.49,12.49,9838.46,9850.95
10,BTC/INR,30m,LONG,2026-08-05 02:30:00+05:30,2026-08-06 00:00:00+05:30,64399.03,5377319.42,59247.11,79854.8,64624.67,5396160.07,INTRADAY_SQUAREOFF,0.02,197.02,0.000458,2462.74,8.63,2.91,5.72,5.72,9850.95,9856.67
11,BTC/INR,30m,LONG,2026-08-06 02:00:00+05:30,2026-08-07 00:00:00+05:30,64988.13,5426508.54,59789.08,80585.28,64426.5,5379612.84,INTRADAY_SQUAREOFF,0.02,197.13,0.000454,2464.17,-21.3,2.9,-24.19,-24.19,9856.67,9832.48
12,BTC/INR,30m,LONG,2026-08-07 18:30:00+05:30,2026-08-08 00:00:00+05:30,65379.35,5459175.33,60149.0,81070.39,64730.86,5405026.53,INTRADAY_SQUAREOFF,0.02,196.65,0.00045,2458.12,-24.38,2.89,-27.27,-27.27,9832.48,9805.21
13,BTC/INR,30m,LONG,2026-08-09 01:30:00+05:30,2026-08-10 00:00:00+05:30,65073.23,5433614.81,59867.37,80690.81,65134.17,5438702.91,INTRADAY_SQUAREOFF,0.02,196.1,0.000451,2451.3,2.3,2.89,-0.6,-0.6,9805.21,9804.61
14,BTC/INR,30m,LONG,2026-08-10 17:00:00+05:30,2026-08-11 00:00:00+05:30,65070.43,5433380.83,59864.79,80687.33,63774.61,5325179.81,INTRADAY_SQUAREOFF,0.02,196.09,0.000451,2451.15,-48.81,2.86,-51.68,-51.68,9804.61,9752.93
15,BTC/INR,30m,SHORT,2026-08-11 03:30:00+05:30,2026-08-12 00:00:00+05:30,63871.35,5333257.65,68981.06,48542.23,63435.77,5296886.99,INTRADAY_SQUAREOFF,0.02,195.06,0.000457,2438.23,16.63,2.87,13.76,13.76,9752.93,9766.7
16,BTC/INR,30m,SHORT,2026-08-12 05:30:00+05:30,2026-08-13 00:00:00+05:30,63492.37,5301612.63,68571.76,48254.2,63389.21,5292999.04,INTRADAY_SQUAREOFF,0.02,195.33,0.000461,2441.67,3.97,2.88,1.09,1.09,9766.7,9767.78
17,BTC/INR,30m,SHORT,2026-08-13 03:00:00+05:30,2026-08-14 00:00:00+05:30,63356.84,5290296.54,68425.39,48151.2,63092.36,5268211.94,INTRADAY_SQUAREOFF,0.02,195.36,0.000462,2441.95,10.19,2.88,7.32,7.32,9767.78,9775.1
18,BTC/INR,30m,SHORT,2026-08-14 08:30:00+05:30,2026-08-15 00:00:00+05:30,63369.3,5291336.51,68438.84,48160.67,62983.98,5259162.02,INTRADAY_SQUAREOFF,0.02,195.5,0.000462,2443.78,14.86,2.87,11.98,11.98,9775.1,9787.09
19,BTC/INR,30m,SHORT,2026-08-16 00:00:00+05:30,2026-08-17 00:00:00+05:30,62939.67,5255462.83,67974.85,47834.15,63123.22,5270788.68,INTRADAY_SQUAREOFF,0.02,195.74,0.000466,2446.77,-7.14,2.89,-10.03,-10.03,9787.09,9777.06
20,BTC/INR,30m,LONG,2026-08-17 01:00:00+05:30,2026-08-18 00:00:00+05:30,63185.88,5276020.81,58131.01,78350.49,64427.5,5379696.3,INTRADAY_SQUAREOFF,0.02,195.54,0.000463,2444.27,48.03,2.91,45.12,45.12,9777.06,9822.18
21,BTC/INR,30m,LONG,2026-08-18 05:00:00+05:30,2026-08-19 00:00:00+05:30,64468.68,5383134.71,59311.18,79941.16,64727.33,5404732.15,INTRADAY_SQUAREOFF,0.02,196.44,0.000456,2455.54,9.85,2.9,6.95,6.95,9822.18,9829.13
22,BTC/INR,30m,LONG,2026-08-19 05:00:00+05:30,2026-08-20 00:00:00+05:30,64730.37,5404985.77,59551.94,80265.66,68208.16,5695381.37,INTRADAY_SQUAREOFF,0.02,196.58,0.000455,2457.28,132.02,2.98,129.05,129.05,9829.13,9958.17
