trade_no,coin,timeframe,direction,entry_time,exit_time,entry_price_usd,entry_price_inr,stop_price_usd,target_price_usd,exit_price_usd,exit_price_inr,exit_reason,risk_pct,risk_inr,position_size_coin,position_size_inr,gross_pnl_inr,fees_inr,net_pnl_inr,net_pnl,equity_before,equity_after
1,ETH/INR,15m,LONG,2026-07-26 19:15:00+05:30,2026-07-27 00:00:00+05:30,1887.58,157613.21,1736.58,2189.6,1910.94,159563.83,INTRADAY_SQUAREOFF,0.015,150.0,0.011896,1875.0,23.21,2.23,20.98,20.98,10000.0,10020.98
2,ETH/INR,15m,LONG,2026-07-27 07:30:00+05:30,2026-07-28 00:00:00+05:30,1947.49,162615.69,1791.69,2259.09,1936.09,161663.64,INTRADAY_SQUAREOFF,0.015,150.31,0.011554,1878.93,-11.0,2.21,-13.21,-13.21,10020.98,10007.77
3,ETH/INR,15m,SHORT,2026-07-28 01:45:00+05:30,2026-07-29 00:00:00+05:30,1942.39,162189.42,2097.78,1631.61,1908.38,159350.04,INTRADAY_SQUAREOFF,0.015,150.12,0.01157,1876.46,32.85,2.19,30.66,30.66,10007.77,10038.42
4,ETH/INR,15m,LONG,2026-07-29 01:00:00+05:30,2026-07-30 00:00:00+05:30,1917.22,160087.71,1763.84,2223.97,1905.86,159139.03,INTRADAY_SQUAREOFF,0.015,150.58,0.011757,1882.2,-11.15,2.21,-13.37,-13.37,10038.42,10025.05
5,ETH/INR,15m,SHORT,2026-07-30 04:45:00+05:30,2026-07-31 00:00:00+05:30,1899.25,158587.36,2051.19,1595.37,1919.46,160274.85,INTRADAY_SQUAREOFF,0.015,150.38,0.011853,1879.7,-20.0,2.23,-22.23,-22.23,10025.05,10002.82
6,ETH/INR,15m,LONG,2026-07-31 00:45:00+05:30,2026-08-01 00:00:00+05:30,1922.08,160493.73,1768.31,2229.61,1866.49,155851.61,INTRADAY_SQUAREOFF,0.015,150.04,0.011686,1875.53,-54.25,2.18,-56.43,-56.43,10002.82,9946.39
7,ETH/INR,15m,SHORT,2026-08-01 02:30:00+05:30,2026-08-02 00:00:00+05:30,1858.62,155194.79,2007.31,1561.24,1852.74,154703.45,INTRADAY_SQUAREOFF,0.015,149.2,0.012017,1864.95,5.9,2.2,3.71,3.71,9946.39,9950.1
8,ETH/INR,15m,LONG,2026-08-02 07:45:00+05:30,2026-08-03 00:00:00+05:30,1878.33,156840.45,1728.06,2178.86,1866.22,155829.07,INTRADAY_SQUAREOFF,0.015,149.25,0.011895,1865.64,-12.03,2.19,-14.22,-14.22,9950.1,9935.88
9,ETH/INR,15m,LONG,2026-08-03 01:15:00+05:30,2026-08-04 00:00:00+05:30,1877.72,156789.49,1727.5,2178.15,1866.25,155831.58,INTRADAY_SQUAREOFF,0.015,149.04,0.011882,1862.98,-11.38,2.19,-13.57,-13.57,9935.88,9922.3
10,ETH/INR,15m,LONG,2026-08-04 00:45:00+05:30,2026-08-05 00:00:00+05:30,1871.1,156236.44,1721.41,2170.47,1877.05,156733.76,INTRADAY_SQUAREOFF,0.015,148.83,0.011908,1860.43,5.92,2.2,3.72,3.72,9922.3,9926.03
11,ETH/INR,15m,LONG,2026-08-05 00:45:00+05:30,2026-08-06 00:00:00+05:30,1878.07,156818.73,1727.82,2178.56,1916.88,160059.57,INTRADAY_SQUAREOFF,0.015,148.89,0.011868,1861.13,38.46,2.22,36.24,36.24,9926.03,9962.27
