trade_no,coin,timeframe,direction,entry_time,exit_time,entry_price_usd,entry_price_inr,stop_price_usd,target_price_usd,exit_price_usd,exit_price_inr,exit_reason,risk_pct,risk_inr,position_size_coin,position_size_inr,gross_pnl_inr,fees_inr,net_pnl_inr,net_pnl,equity_before,equity_after
1,ETH/INR,1h,LONG,2024-09-27 06:30:00+05:30,2024-09-28 00:30:00+05:30,2642.67,220662.56,2431.25,3276.91,2700.77,225514.05,INTRADAY_SQUAREOFF,0.015,150.0,0.008497,1875.0,41.22,2.24,38.99,38.99,10000.0,10038.99
2,ETH/INR,1h,LONG,2024-09-28 04:30:00+05:30,2024-09-29 00:30:00+05:30,2709.34,226229.73,2492.59,3359.58,2674.46,223317.43,INTRADAY_SQUAREOFF,0.015,150.58,0.00832,1882.31,-24.23,2.21,-26.44,-26.44,10038.99,10012.55
3,ETH/INR,1h,SHORT,2024-09-30 02:30:00+05:30,2024-10-01 00:30:00+05:30,2657.87,221931.99,2870.5,2019.98,2589.83,216250.88,INTRADAY_SQUAREOFF,0.015,150.19,0.008459,1877.35,48.06,2.19,45.87,45.87,10012.55,10058.42
4,ETH/INR,1h,SHORT,2024-10-02 15:30:00+05:30,2024-10-03 00:30:00+05:30,2446.89,204315.37,2642.64,1859.64,2391.33,199675.82,INTRADAY_SQUAREOFF,0.015,150.88,0.009231,1885.95,42.83,2.2,40.63,40.63,10058.42,10099.04
5,ETH/INR,1h,SHORT,2024-10-03 11:30:00+05:30,2024-10-04 00:30:00+05:30,2381.77,198877.85,2572.31,1810.15,2345.34,195835.83,INTRADAY_SQUAREOFF,0.015,151.49,0.009521,1893.57,28.96,2.22,26.75,26.75,10099.04,10125.79
6,ETH/INR,1h,SHORT,2024-10-04 06:30:00+05:30,2024-10-05 00:30:00+05:30,2338.94,195301.09,2526.05,1777.59,2432.23,203091.36,INTRADAY_SQUAREOFF,0.015,151.89,0.009721,1898.59,-75.73,2.29,-78.02,-78.02,10125.79,10047.77
7,ETH/INR,1h,LONG,2024-10-05 06:30:00+05:30,2024-10-06 00:30:00+05:30,2425.44,202524.37,2231.41,3007.55,2401.15,200496.36,INTRADAY_SQUAREOFF,0.015,150.72,0.009302,1883.96,-18.87,2.21,-21.08,-21.08,10047.77,10026.7
8,ETH/INR,1h,LONG,2024-10-06 17:30:00+05:30,2024-10-07 00:30:00+05:30,2430.84,202975.35,2236.38,3014.24,2444.87,204146.48,INTRADAY_SQUAREOFF,0.015,150.4,0.009262,1880.01,10.85,2.22,8.62,8.62,10026.7,10035.32
9,ETH/INR,1h,SHORT,2024-10-08 04:30:00+05:30,2024-10-09 00:30:00+05:30,2413.96,201565.75,2607.08,1834.61,2436.5,203447.49,INTRADAY_SQUAREOFF,0.015,150.53,0.009335,1881.62,-17.57,2.23,-19.8,-19.8,10035.32,10015.52
10,ETH/INR,1h,SHORT,2024-10-09 04:30:00+05:30,2024-10-10 00:30:00+05:30,2438.62,203624.56,2633.71,1853.35,2413.49,201526.5,INTRADAY_SQUAREOFF,0.015,150.23,0.009222,1877.91,19.35,2.2,17.14,17.14,10015.52,10032.67
