trade_no,coin,timeframe,direction,entry_time,exit_time,entry_price_usd,entry_price_inr,stop_price_usd,target_price_usd,exit_price_usd,exit_price_inr,exit_reason,risk_pct,risk_inr,position_size_coin,position_size_inr,gross_pnl_inr,fees_inr,net_pnl_inr,net_pnl,equity_before,equity_after
1,ETH/INR,1h,LONG,2024-09-27 06:30:00+05:30,2024-09-28 00:30:00+05:30,2642.67,220662.56,2431.25,3276.91,2700.77,225514.05,INTRADAY_SQUAREOFF,0.01,100.0,0.005665,1250.0,27.48,1.49,25.99,25.99,10000.0,10025.99
2,ETH/INR,1h,LONG,2024-09-28 04:30:00+05:30,2024-09-29 00:30:00+05:30,2709.34,226229.73,2492.59,3359.58,2674.46,223317.43,INTRADAY_SQUAREOFF,0.01,100.26,0.00554,1253.25,-16.13,1.47,-17.6,-17.6,10025.99,10008.39
3,ETH/INR,1h,SHORT,2024-09-30 02:30:00+05:30,2024-10-01 00:30:00+05:30,2657.87,221931.99,2870.5,2019.98,2589.83,216250.88,INTRADAY_SQUAREOFF,0.01,100.08,0.005637,1251.05,32.02,1.46,30.57,30.57,10008.39,10038.96
4,ETH/INR,1h,SHORT,2024-10-02 15:30:00+05:30,2024-10-03 00:30:00+05:30,2446.89,204315.37,2642.64,1859.64,2391.33,199675.82,INTRADAY_SQUAREOFF,0.01,100.39,0.006142,1254.87,28.5,1.46,27.03,27.03,10038.96,10065.99
5,ETH/INR,1h,SHORT,2024-10-03 11:30:00+05:30,2024-10-04 00:30:00+05:30,2381.77,198877.85,2572.31,1810.15,2345.34,195835.83,INTRADAY_SQUAREOFF,0.01,100.66,0.006327,1258.25,19.25,1.47,17.77,17.77,10065.99,10083.76
6,ETH/INR,1h,SHORT,2024-10-04 06:30:00+05:30,2024-10-05 00:30:00+05:30,2338.94,195301.09,2526.05,1777.59,2432.23,203091.36,INTRADAY_SQUAREOFF,0.01,100.84,0.006454,1260.47,-50.28,1.52,-51.8,-51.8,10083.76,10031.96
7,ETH/INR,1h,LONG,2024-10-05 06:30:00+05:30,2024-10-06 00:30:00+05:30,2425.44,202524.37,2231.41,3007.55,2401.15,200496.36,INTRADAY_SQUAREOFF,0.01,100.32,0.006192,1254.0,-12.56,1.47,-14.03,-14.03,10031.96,10017.94
8,ETH/INR,1h,LONG,2024-10-06 17:30:00+05:30,2024-10-07 00:30:00+05:30,2430.84,202975.35,2236.38,3014.24,2444.87,204146.48,INTRADAY_SQUAREOFF,0.01,100.18,0.006169,1252.24,7.23,1.48,5.74,5.74,10017.94,10023.68
9,ETH/INR,1h,SHORT,2024-10-08 04:30:00+05:30,2024-10-09 00:30:00+05:30,2413.96,201565.75,2607.08,1834.61,2436.5,203447.49,INTRADAY_SQUAREOFF,0.01,100.24,0.006216,1252.96,-11.7,1.49,-13.18,-13.18,10023.68,10010.5
10,ETH/INR,1h,SHORT,2024-10-09 04:30:00+05:30,2024-10-10 00:30:00+05:30,2438.62,203624.56,2633.71,1853.35,2413.49,201526.5,INTRADAY_SQUAREOFF,0.01,100.1,0.006145,1251.31,12.89,1.47,11.42,11.42,10010.5,10021.92
