coin,timeframe,bars,params,sl_pct,rr,trades,win_rate,net_profit_inr,final_capital_inr,return_pct,max_dd_inr,max_dd_pct,profit_factor,expectancy,avg_win,avg_loss,max_win_streak,max_loss_streak,exposure,avg_duration_h
BTC/INR,5m,1951,10x3+10x4,8%,1:3,7,71.43,107.17,10107.17,1.07,37.03,0.37,3.8,15.31,29.08,-19.11,3,1,90.15,20.93
BTC/INR,15m,5738,10x3+10x4,8%,1:3,59,42.37,-94.55,9905.45,-0.95,263.61,2.6,0.83,-1.6,18.94,-16.71,4,4,82.94,20.17
BTC/INR,30m,2870,10x3+10x4,8%,1:3,55,41.82,-75.83,9924.17,-0.76,273.61,2.7,0.87,-1.38,21.85,-18.07,5,5,67.1,17.5
BTC/INR,1h,17331,10x3+10x4,8%,1:3,611,41.08,-1292.68,8707.32,-12.93,1730.37,16.8,0.77,-2.12,17.43,-15.74,6,12,53.26,15.27
ETH/INR,5m,1951,10x3+10x4,8%,1:3,7,42.86,-75.42,9924.58,-0.75,84.61,0.85,0.48,-10.78,23.0,-36.11,1,2,94.31,21.89
ETH/INR,15m,5738,10x3+10x4,8%,1:3,60,46.67,85.58,10085.58,0.86,137.04,1.37,1.17,1.43,21.25,-15.92,5,5,85.76,20.5
ETH/INR,30m,2870,10x3+10x4,8%,1:3,57,42.11,-105.88,9894.12,-1.06,265.47,2.64,0.83,-1.86,21.32,-18.71,5,4,69.01,17.37
ETH/INR,1h,17331,10x3+10x4,8%,1:3,577,43.5,-1806.87,8193.13,-18.07,2019.63,20.03,0.77,-3.13,23.77,-23.84,7,9,49.17,14.93
SOL/INR,5m,1951,10x3+10x4,8%,1:3,8,50.0,-43.89,9956.11,-0.44,102.33,1.02,0.76,-5.48,35.18,-46.16,2,2,91.64,18.61
SOL/INR,15m,5738,10x3+10x4,8%,1:3,61,44.26,40.93,10040.93,0.41,236.54,2.35,1.05,0.67,29.22,-22.0,4,3,83.2,19.57
SOL/INR,30m,2870,10x3+10x4,8%,1:3,56,42.86,-24.14,9975.86,-0.24,414.85,4.06,0.97,-0.43,33.17,-25.63,5,3,72.39,18.54
SOL/INR,1h,17331,10x3+10x4,8%,1:3,637,45.21,-1467.09,8532.91,-14.67,1883.89,18.41,0.85,-2.3,28.04,-27.34,6,8,55.3,15.21
