trade_no,coin,timeframe,direction,entry_time,exit_time,entry_price_usd,entry_price_inr,stop_price_usd,target_price_usd,exit_price_usd,exit_price_inr,exit_reason,risk_pct,risk_inr,position_size_coin,position_size_inr,gross_pnl_inr,fees_inr,net_pnl_inr,net_pnl,equity_before,equity_after
1,BTC/INR,1h,LONG,2024-09-26 21:30:00+05:30,2024-09-27 00:30:00+05:30,65506.05,5469754.78,60265.56,81227.5,65256.97,5448956.87,INTRADAY_SQUAREOFF,0.01,100.0,0.000229,1250.0,-4.75,1.47,-6.23,-6.23,10000.0,9993.77
2,BTC/INR,1h,LONG,2024-09-27 03:30:00+05:30,2024-09-28 00:30:00+05:30,65087.26,5434786.03,59880.28,80708.2,65859.9,5499301.43,INTRADAY_SQUAREOFF,0.01,99.94,0.00023,1249.22,14.83,1.48,13.35,13.35,9993.77,10007.12
3,BTC/INR,1h,LONG,2024-09-28 07:30:00+05:30,2024-09-29 00:30:00+05:30,66032.95,5513750.93,60750.31,81880.85,65681.21,5484381.31,INTRADAY_SQUAREOFF,0.01,100.07,0.000227,1250.89,-6.66,1.47,-8.14,-8.14,10007.12,9998.99
4,BTC/INR,1h,LONG,2024-09-29 05:30:00+05:30,2024-09-30 00:30:00+05:30,65981.37,5509444.62,60702.86,81816.9,65770.47,5491834.52,INTRADAY_SQUAREOFF,0.01,99.99,0.000227,1249.87,-4.0,1.47,-5.47,-5.47,9998.99,9993.52
5,BTC/INR,1h,SHORT,2024-09-30 12:30:00+05:30,2024-10-01 00:30:00+05:30,64333.27,5371828.4,69479.94,48893.29,63351.79,5289874.05,INTRADAY_SQUAREOFF,0.01,99.94,0.000233,1249.19,19.06,1.46,17.6,17.6,9993.52,10011.11
6,BTC/INR,1h,SHORT,2024-10-02 15:30:00+05:30,2024-10-03 00:30:00+05:30,61119.47,5103475.57,66009.03,46450.8,60811.97,5077799.4,INTRADAY_SQUAREOFF,0.01,100.11,0.000245,1251.39,6.3,1.47,4.82,4.82,10011.11,10015.94
7,BTC/INR,1h,SHORT,2024-10-03 13:30:00+05:30,2024-10-04 00:30:00+05:30,60862.06,5081982.14,65731.03,46255.17,60745.15,5072220.06,INTRADAY_SQUAREOFF,0.01,100.16,0.000246,1251.99,2.4,1.48,0.93,0.93,10015.94,10016.87
8,BTC/INR,1h,SHORT,2024-10-04 06:30:00+05:30,2024-10-05 00:30:00+05:30,60437.06,5046494.78,65272.03,45932.17,62360.88,5207133.78,INTRADAY_SQUAREOFF,0.01,100.17,0.000248,1252.11,-39.86,1.5,-41.36,-41.36,10016.87,9975.51
9,BTC/INR,1h,LONG,2024-10-05 11:30:00+05:30,2024-10-06 00:30:00+05:30,62169.24,5191131.29,57195.7,77089.85,61833.21,5163073.24,INTRADAY_SQUAREOFF,0.01,99.76,0.00024,1246.94,-6.74,1.47,-8.21,-8.21,9975.51,9967.3
10,BTC/INR,1h,LONG,2024-10-07 06:30:00+05:30,2024-10-08 00:30:00+05:30,63728.09,5321295.54,58629.84,79022.83,62809.52,5244595.0,INTRADAY_SQUAREOFF,0.01,99.67,0.000234,1245.91,-17.96,1.46,-19.42,-19.42,9967.3,9947.88
11,BTC/INR,1h,SHORT,2024-10-09 04:30:00+05:30,2024-10-10 00:30:00+05:30,62099.17,5185280.96,67067.11,47195.37,61167.65,5107499.15,INTRADAY_SQUAREOFF,0.01,99.48,0.00024,1243.49,18.65,1.46,17.2,17.2,9947.88,9965.08
12,BTC/INR,1h,SHORT,2024-10-10 06:30:00+05:30,2024-10-11 00:30:00+05:30,60321.22,5036821.77,65146.92,45844.13,59454.54,4964454.14,INTRADAY_SQUAREOFF,0.01,99.65,0.000247,1245.63,17.9,1.46,16.44,16.44,9965.08,9981.52
13,BTC/INR,1h,LONG,2024-10-11 23:30:00+05:30,2024-10-12 01:30:00+05:30,62940.76,5255553.73,57905.5,78046.55,63053.4,5264958.81,INTRADAY_SQUAREOFF,0.01,99.82,0.000237,1247.69,2.23,1.47,0.76,0.76,9981.52,9982.28
