trade_no,coin,timeframe,direction,entry_time,exit_time,entry_price_usd,entry_price_inr,stop_price_usd,target_price_usd,exit_price_usd,exit_price_inr,exit_reason,risk_pct,risk_inr,position_size_coin,position_size_inr,gross_pnl_inr,fees_inr,net_pnl_inr,net_pnl,equity_before,equity_after
1,BTC/INR,30m,LONG,2026-07-27 09:00:00+05:30,2026-07-28 00:00:00+05:30,65317.87,5454042.4,60092.44,80994.16,64825.58,5412936.16,INTRADAY_SQUAREOFF,0.01,100.0,0.000229,1250.0,-9.42,1.47,-10.89,-10.89,10000.0,9989.11
2,BTC/INR,30m,SHORT,2026-07-28 03:00:00+05:30,2026-07-29 00:00:00+05:30,64724.58,5404502.64,69902.55,49190.68,63660.97,5315691.39,INTRADAY_SQUAREOFF,0.01,99.89,0.000231,1248.64,20.52,1.46,19.06,19.06,9989.11,10008.17
3,BTC/INR,30m,LONG,2026-07-29 05:30:00+05:30,2026-07-30 00:00:00+05:30,63907.83,5336303.69,58795.2,79245.71,63993.57,5343462.71,INTRADAY_SQUAREOFF,0.01,100.08,0.000234,1251.02,1.68,1.48,0.2,0.2,10008.17,10008.37
4,BTC/INR,30m,SHORT,2026-07-30 01:30:00+05:30,2026-07-31 00:00:00+05:30,63446.98,5297822.78,68522.74,48219.7,64765.6,5407928.01,INTRADAY_SQUAREOFF,0.01,100.08,0.000236,1251.05,-26.0,1.49,-27.49,-27.49,10008.37,9980.88
5,BTC/INR,30m,LONG,2026-07-31 01:00:00+05:30,2026-08-01 00:00:00+05:30,64871.72,5416788.66,59681.98,80440.93,62959.32,5257103.63,INTRADAY_SQUAREOFF,0.01,99.81,0.00023,1247.61,-36.78,1.45,-38.23,-38.23,9980.88,9942.65
6,BTC/INR,30m,SHORT,2026-08-01 05:30:00+05:30,2026-08-02 00:00:00+05:30,62772.69,5241519.43,67794.5,47707.24,62534.75,5221651.77,INTRADAY_SQUAREOFF,0.01,99.43,0.000237,1242.83,4.71,1.46,3.25,3.25,9942.65,9945.89
7,BTC/INR,30m,LONG,2026-08-02 10:00:00+05:30,2026-08-03 00:00:00+05:30,63524.86,5304325.47,58442.87,78770.82,63188.89,5276272.29,INTRADAY_SQUAREOFF,0.01,99.46,0.000234,1243.24,-6.58,1.46,-8.04,-8.04,9945.89,9937.86
8,BTC/INR,30m,SHORT,2026-08-03 09:00:00+05:30,2026-08-04 00:00:00+05:30,62951.52,5256451.94,67987.64,47843.16,63829.22,5329739.78,INTRADAY_SQUAREOFF,0.01,99.38,0.000236,1242.23,-17.32,1.48,-18.8,-18.8,9937.86,9919.06
9,BTC/INR,30m,LONG,2026-08-04 07:30:00+05:30,2026-08-05 00:00:00+05:30,63888.85,5334719.0,58777.74,79222.17,64288.82,5368116.47,INTRADAY_SQUAREOFF,0.01,99.19,0.000232,1239.88,7.76,1.47,6.29,6.29,9919.06,9925.35
10,BTC/INR,30m,LONG,2026-08-05 02:30:00+05:30,2026-08-06 00:00:00+05:30,64399.03,5377319.42,59247.11,79854.8,64624.67,5396160.07,INTRADAY_SQUAREOFF,0.01,99.25,0.000231,1240.67,4.35,1.47,2.88,2.88,9925.35,9928.23
11,BTC/INR,30m,LONG,2026-08-06 02:00:00+05:30,2026-08-07 00:00:00+05:30,64988.13,5426508.54,59789.08,80585.28,64426.5,5379612.84,INTRADAY_SQUAREOFF,0.01,99.28,0.000229,1241.03,-10.72,1.46,-12.18,-12.18,9928.23,9916.05
12,BTC/INR,30m,LONG,2026-08-07 18:30:00+05:30,2026-08-08 00:00:00+05:30,65379.35,5459175.33,60149.0,81070.39,64730.86,5405026.53,INTRADAY_SQUAREOFF,0.01,99.16,0.000227,1239.51,-12.29,1.46,-13.75,-13.75,9916.05,9902.3
13,BTC/INR,30m,LONG,2026-08-09 01:30:00+05:30,2026-08-10 00:00:00+05:30,65073.23,5433614.81,59867.37,80690.81,65134.17,5438702.91,INTRADAY_SQUAREOFF,0.01,99.02,0.000228,1237.79,1.16,1.46,-0.3,-0.3,9902.3,9902.0
14,BTC/INR,30m,LONG,2026-08-10 17:00:00+05:30,2026-08-11 00:00:00+05:30,65070.43,5433380.83,59864.79,80687.33,63774.61,5325179.81,INTRADAY_SQUAREOFF,0.01,99.02,0.000228,1237.75,-24.65,1.45,-26.09,-26.09,9902.0,9875.9
15,BTC/INR,30m,SHORT,2026-08-11 03:30:00+05:30,2026-08-12 00:00:00+05:30,63871.35,5333257.65,68981.06,48542.23,63435.77,5296886.99,INTRADAY_SQUAREOFF,0.01,98.76,0.000231,1234.49,8.42,1.45,6.97,6.97,9875.9,9882.87
16,BTC/INR,30m,SHORT,2026-08-12 05:30:00+05:30,2026-08-13 00:00:00+05:30,63492.37,5301612.63,68571.76,48254.2,63389.21,5292999.04,INTRADAY_SQUAREOFF,0.01,98.83,0.000233,1235.36,2.01,1.46,0.55,0.55,9882.87,9883.42
17,BTC/INR,30m,SHORT,2026-08-13 03:00:00+05:30,2026-08-14 00:00:00+05:30,63356.84,5290296.54,68425.39,48151.2,63092.36,5268211.94,INTRADAY_SQUAREOFF,0.01,98.83,0.000234,1235.43,5.16,1.45,3.7,3.7,9883.42,9887.12
18,BTC/INR,30m,SHORT,2026-08-14 08:30:00+05:30,2026-08-15 00:00:00+05:30,63369.3,5291336.51,68438.84,48160.67,62983.98,5259162.02,INTRADAY_SQUAREOFF,0.01,98.87,0.000234,1235.89,7.51,1.45,6.06,6.06,9887.12,9893.19
19,BTC/INR,30m,SHORT,2026-08-16 00:00:00+05:30,2026-08-17 00:00:00+05:30,62939.67,5255462.83,67974.85,47834.15,63123.22,5270788.68,INTRADAY_SQUAREOFF,0.01,98.93,0.000235,1236.65,-3.61,1.46,-5.07,-5.07,9893.19,9888.12
20,BTC/INR,30m,LONG,2026-08-17 01:00:00+05:30,2026-08-18 00:00:00+05:30,63185.88,5276020.81,58131.01,78350.49,64427.5,5379696.3,INTRADAY_SQUAREOFF,0.01,98.88,0.000234,1236.01,24.29,1.47,22.82,22.82,9888.12,9910.93
21,BTC/INR,30m,LONG,2026-08-18 05:00:00+05:30,2026-08-19 00:00:00+05:30,64468.68,5383134.71,59311.18,79941.16,64727.33,5404732.15,INTRADAY_SQUAREOFF,0.01,99.11,0.00023,1238.87,4.97,1.46,3.51,3.51,9910.93,9914.44
22,BTC/INR,30m,LONG,2026-08-19 05:00:00+05:30,2026-08-20 00:00:00+05:30,64730.37,5404985.77,59551.94,80265.66,68208.16,5695381.37,INTRADAY_SQUAREOFF,0.01,99.14,0.000229,1239.3,66.58,1.5,65.08,65.08,9914.44,9979.52
23,BTC/INR,30m,LONG,2026-08-20 10:00:00+05:30,2026-08-21 00:00:00+05:30,69379.85,5793217.67,63829.46,86031.02,72624.19,6064120.13,INTRADAY_SQUAREOFF,0.01,99.8,0.000215,1247.44,58.33,1.51,56.83,56.83,9979.52,10036.35
24,BTC/INR,30m,LONG,2026-08-21 05:00:00+05:30,2026-08-22 00:00:00+05:30,73381.41,6127348.12,67510.9,90992.95,77321.39,6456336.09,INTRADAY_SQUAREOFF,0.01,100.36,0.000205,1254.54,67.36,1.52,65.84,65.84,10036.35,10102.19
25,BTC/INR,30m,LONG,2026-08-22 02:00:00+05:30,2026-08-23 00:00:00+05:30,77555.28,6475866.02,71350.86,96168.55,77256.64,6450929.56,INTRADAY_SQUAREOFF,0.01,101.02,0.000195,1262.77,-4.86,1.49,-6.35,-6.35,10102.19,10095.84
26,BTC/INR,30m,LONG,2026-08-23 22:00:00+05:30,2026-08-24 00:00:00+05:30,77355.45,6459179.86,71167.01,95920.75,77298.91,6454458.93,INTRADAY_SQUAREOFF,0.01,100.96,0.000195,1261.98,-0.92,1.49,-2.41,-2.41,10095.84,10093.43
27,BTC/INR,30m,LONG,2026-08-24 02:00:00+05:30,2026-08-25 00:00:00+05:30,77438.86,6466144.5,71243.75,96024.18,78976.49,6594537.08,INTRADAY_SQUAREOFF,0.01,100.93,0.000195,1261.68,25.05,1.5,23.55,23.55,10093.43,10116.97
28,BTC/INR,30m,LONG,2026-08-25 02:30:00+05:30,2026-08-26 00:00:00+05:30,79022.7,6598395.66,72700.89,97988.15,79225.14,6615299.28,INTRADAY_SQUAREOFF,0.01,101.17,0.000192,1264.62,3.24,1.49,1.75,1.75,10116.97,10118.72
29,BTC/INR,30m,SHORT,2026-08-26 02:30:00+05:30,2026-08-27 00:00:00+05:30,78126.32,6523547.36,84376.42,59376.0,78505.48,6555207.19,INTRADAY_SQUAREOFF,0.01,101.19,0.000194,1264.84,-6.14,1.5,-7.63,-7.63,10118.72,10111.09
30,BTC/INR,30m,SHORT,2026-08-27 06:30:00+05:30,2026-08-28 00:00:00+05:30,78646.49,6566981.52,84938.2,59771.33,79971.62,6677630.44,INTRADAY_SQUAREOFF,0.01,101.11,0.000192,1263.89,-21.3,1.5,-22.8,-22.8,10111.09,10088.29
31,BTC/INR,30m,LONG,2026-08-28 03:30:00+05:30,2026-08-29 00:00:00+05:30,80252.08,6701048.89,73831.92,99512.58,77525.69,6473395.48,INTRADAY_SQUAREOFF,0.01,100.88,0.000188,1261.04,-42.84,1.46,-44.3,-44.3,10088.29,10043.98
32,BTC/INR,30m,SHORT,2026-08-29 06:30:00+05:30,2026-08-30 00:00:00+05:30,77677.79,6486095.47,83892.01,59035.12,78087.59,6520314.15,INTRADAY_SQUAREOFF,0.01,100.44,0.000194,1255.5,-6.62,1.49,-8.11,-8.11,10043.98,10035.87
33,BTC/INR,30m,LONG,2026-08-30 04:30:00+05:30,2026-08-31 00:00:00+05:30,78275.71,6536021.96,72013.66,97061.88,78967.52,6593787.91,INTRADAY_SQUAREOFF,0.01,100.36,0.000192,1254.48,11.09,1.49,9.6,9.6,10035.87,10045.47
34,BTC/INR,30m,SHORT,2026-08-31 07:30:00+05:30,2026-09-01 00:00:00+05:30,77565.31,6476703.16,83770.53,58949.63,78929.44,6590608.66,INTRADAY_SQUAREOFF,0.01,100.45,0.000194,1255.68,-22.08,1.49,-23.58,-23.58,10045.47,10021.9
35,BTC/INR,30m,LONG,2026-09-01 06:00:00+05:30,2026-09-02 00:00:00+05:30,78919.94,6589815.01,72606.35,97860.73,76975.79,6427478.44,INTRADAY_SQUAREOFF,0.01,100.22,0.00019,1252.74,-30.86,1.46,-32.32,-32.32,10021.9,9989.57
36,BTC/INR,30m,SHORT,2026-09-02 04:00:00+05:30,2026-09-03 00:00:00+05:30,76984.89,6428238.04,83143.68,58508.51,77462.24,6468096.64,INTRADAY_SQUAREOFF,0.01,99.9,0.000194,1248.7,-7.74,1.48,-9.22,-9.22,9989.57,9980.35
37,BTC/INR,30m,LONG,2026-09-03 17:00:00+05:30,2026-09-04 00:00:00+05:30,77963.67,6509966.07,71726.57,96674.95,80908.24,6755837.75,INTRADAY_SQUAREOFF,0.01,99.8,0.000192,1247.54,47.12,1.5,45.62,45.62,9980.35,10025.97
38,BTC/INR,30m,LONG,2026-09-04 10:00:00+05:30,2026-09-05 00:00:00+05:30,81323.63,6790523.41,74817.74,100841.31,79516.95,6639665.17,INTRADAY_SQUAREOFF,0.01,100.26,0.000185,1253.25,-27.84,1.46,-29.3,-29.3,10025.97,9996.67
39,BTC/INR,30m,SHORT,2026-09-05 04:30:00+05:30,2026-09-06 00:00:00+05:30,79599.83,6646585.69,85967.81,60495.87,79998.25,6679854.09,INTRADAY_SQUAREOFF,0.01,99.97,0.000188,1249.58,-6.25,1.48,-7.73,-7.73,9996.67,9988.93
40,BTC/INR,30m,LONG,2026-09-06 03:00:00+05:30,2026-09-07 00:00:00+05:30,79917.17,6673083.29,73523.79,99097.28,79875.32,6669589.52,INTRADAY_SQUAREOFF,0.01,99.89,0.000187,1248.62,-0.65,1.47,-2.13,-2.13,9988.93,9986.81
41,BTC/INR,30m,SHORT,2026-09-07 15:30:00+05:30,2026-09-08 00:00:00+05:30,79253.36,6617655.67,85593.63,60232.55,79182.51,6611739.5,INTRADAY_SQUAREOFF,0.01,99.87,0.000189,1248.35,1.12,1.47,-0.36,-0.36,9986.81,9986.45
