coin,timeframe,period,bars,st1_period,st1_mult,st2_period,st2_mult,settings,sl,rr,risk,sl_pct,rr_val,strategy,starting_capital,ending_capital,total_net_profit,return_pct,max_drawdown_inr,max_drawdown_pct,max_profit,max_loss,avg_win,avg_loss,largest_win,largest_loss,win_rate,loss_rate,profit_factor,expectancy,num_trades,winning_trades,losing_trades,breakeven_trades,max_win_streak,max_loss_streak,avg_win_streak,avg_loss_streak,recovery_factor,sharpe,sortino,calmar,exposure_pct,avg_duration_hours,max_duration_hours,min_duration_hours,gross_profit,gross_loss,target,File,oc,ot
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,3.0,10,2.0,"ST1(14,3.0)+ST2(10,2.0)",1.5%,1:3,1%,1.5,3.0,"ST1(14,3.0)+ST2(10,2.0)",10000,11631.59,1631.59,16.32,554.0,5.54,259.776,-96.31,144.32,-96.31,216.48,-96.31,48.72,51.28,1.42,20.92,78,38,40,0,2,2,1.5,1.5,0,0,0,0,58.41,1.5,5,0.5,5484.16,3852.4,4.5%,"SOL_INR_30m_ST1(14,3.0)+ST2(10,2.0)_SL1.5pct_1-3",2,2
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,2.0,14,3.0,"ST1(10,2.0)+ST2(14,3.0)",1.5%,1:3,1%,1.5,3.0,"ST1(10,2.0)+ST2(14,3.0)",10000,11631.59,1631.59,16.32,554.0,5.54,259.776,-96.31,144.32,-96.31,216.48,-96.31,48.72,51.28,1.42,20.92,78,38,40,0,2,2,1.5,1.5,0,0,0,0,58.41,1.5,5,0.5,5484.16,3852.4,4.5%,"SOL_INR_30m_ST1(10,2.0)+ST2(14,3.0)_SL1.5pct_1-3",2,2
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,3.0,14,2.0,"ST1(14,3.0)+ST2(14,2.0)",1.5%,1:3,1%,1.5,3.0,"ST1(14,3.0)+ST2(14,2.0)",10000,11526.36,1526.36,15.26,584.0,5.84,243.108,-94.89,135.06,-94.89,202.59,-94.89,50.0,50.0,1.42,20.08,76,38,38,0,2,2,1.5,1.5,0,0,0,0,58.38,1.5,5,0.5,5132.28,3605.82,4.5%,"SOL_INR_30m_ST1(14,3.0)+ST2(14,2.0)_SL1.5pct_1-3",2,2
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,2.0,14,3.0,"ST1(14,2.0)+ST2(14,3.0)",1.5%,1:3,1%,1.5,3.0,"ST1(14,2.0)+ST2(14,3.0)",10000,11526.36,1526.36,15.26,584.0,5.84,243.108,-94.89,135.06,-94.89,202.59,-94.89,50.0,50.0,1.42,20.08,76,38,38,0,2,2,1.5,1.5,0,0,0,0,58.38,1.5,5,0.5,5132.28,3605.82,4.5%,"SOL_INR_30m_ST1(14,2.0)+ST2(14,3.0)_SL1.5pct_1-3",2,2
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,3.0,12,2.0,"ST1(14,3.0)+ST2(12,2.0)",1.5%,1:3,1%,1.5,3.0,"ST1(14,3.0)+ST2(12,2.0)",10000,11517.27,1517.27,15.17,648.0,6.48,246.402,-95.54,136.89,-95.54,205.335,-95.54,49.37,50.63,1.4,19.21,79,39,40,0,2,2,1.5,1.5,0,0,0,0,58.17,1.5,5,0.5,5338.709999999999,3821.6,4.5%,"SOL_INR_30m_ST1(14,3.0)+ST2(12,2.0)_SL1.5pct_1-3",2,2
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,2.0,14,3.0,"ST1(12,2.0)+ST2(14,3.0)",1.5%,1:3,1%,1.5,3.0,"ST1(12,2.0)+ST2(14,3.0)",10000,11517.27,1517.27,15.17,648.0,6.48,246.402,-95.54,136.89,-95.54,205.335,-95.54,49.37,50.63,1.4,19.21,79,39,40,0,2,2,1.5,1.5,0,0,0,0,58.17,1.5,5,0.5,5338.709999999999,3821.6,4.5%,"SOL_INR_30m_ST1(12,2.0)+ST2(14,3.0)_SL1.5pct_1-3",2,2
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,4.0,10,2.0,"ST1(12,4.0)+ST2(10,2.0)",1.5%,1:3,1%,1.5,3.0,"ST1(12,4.0)+ST2(10,2.0)",10000,11493.49,1493.49,14.93,603.0,6.03,288.036,-93.0,160.02,-93.0,240.03000000000003,-93.0,45.07,54.93,1.41,21.04,71,32,39,0,2,2,1.5,1.5,0,0,0,0,50.82,1.5,5,0.5,5120.64,3627.0,4.5%,"SOL_INR_30m_ST1(12,4.0)+ST2(10,2.0)_SL1.5pct_1-3",2,2
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,2.0,12,4.0,"ST1(10,2.0)+ST2(12,4.0)",1.5%,1:3,1%,1.5,3.0,"ST1(10,2.0)+ST2(12,4.0)",10000,11493.49,1493.49,14.93,603.0,6.03,288.036,-93.0,160.02,-93.0,240.03000000000003,-93.0,45.07,54.93,1.41,21.04,71,32,39,0,2,2,1.5,1.5,0,0,0,0,50.82,1.5,5,0.5,5120.64,3627.0,4.5%,"SOL_INR_30m_ST1(10,2.0)+ST2(12,4.0)_SL1.5pct_1-3",2,2
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,2.0,12,3.5,"ST1(10,2.0)+ST2(12,3.5)",1.5%,1:3,1%,1.5,3.0,"ST1(10,2.0)+ST2(12,3.5)",10000,11473.2,1473.2,14.73,654.0,6.54,260.73,-90.84,144.85,-90.84,217.275,-90.84,47.22,52.78,1.43,20.46,72,34,38,0,2,2,1.5,1.5,0,0,0,0,51.65,1.5,5,0.5,4924.9,3451.92,4.5%,"SOL_INR_30m_ST1(10,2.0)+ST2(12,3.5)_SL1.5pct_1-3",2,2
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,3.5,10,2.0,"ST1(12,3.5)+ST2(10,2.0)",1.5%,1:3,1%,1.5,3.0,"ST1(12,3.5)+ST2(10,2.0)",10000,11473.2,1473.2,14.73,654.0,6.54,260.73,-90.84,144.85,-90.84,217.275,-90.84,47.22,52.78,1.43,20.46,72,34,38,0,2,2,1.5,1.5,0,0,0,0,51.65,1.5,5,0.5,4924.9,3451.92,4.5%,"SOL_INR_30m_ST1(12,3.5)+ST2(10,2.0)_SL1.5pct_1-3",2,2
