coin,timeframe,period,bars,st1_period,st1_mult,st2_period,st2_mult,settings,sl,rr,target,risk,num_trades,win_rate,total_net_profit,ending_capital,return_pct,max_drawdown_pct,profit_factor,expectancy,avg_win,avg_loss,exposure_pct
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,3.0,10,2.0,"ST1(14,3.0)+ST2(10,2.0)",1.5%,1:3,4.5%,1%,78,48.72,1631.59,11631.59,16.32,5.54,1.42,20.92,144.32,-96.31,58.41
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,2.0,14,3.0,"ST1(10,2.0)+ST2(14,3.0)",1.5%,1:3,4.5%,1%,78,48.72,1631.59,11631.59,16.32,5.54,1.42,20.92,144.32,-96.31,58.41
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,2.0,14,3.0,"ST1(14,2.0)+ST2(14,3.0)",1.5%,1:3,4.5%,1%,76,50.0,1526.36,11526.36,15.26,5.84,1.42,20.08,135.06,-94.89,58.38
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,3.0,14,2.0,"ST1(14,3.0)+ST2(14,2.0)",1.5%,1:3,4.5%,1%,76,50.0,1526.36,11526.36,15.26,5.84,1.42,20.08,135.06,-94.89,58.38
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,3.0,12,2.0,"ST1(14,3.0)+ST2(12,2.0)",1.5%,1:3,4.5%,1%,79,49.37,1517.27,11517.27,15.17,6.48,1.4,19.21,136.89,-95.54,58.17
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,2.0,14,3.0,"ST1(12,2.0)+ST2(14,3.0)",1.5%,1:3,4.5%,1%,79,49.37,1517.27,11517.27,15.17,6.48,1.4,19.21,136.89,-95.54,58.17
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,2.0,12,4.0,"ST1(10,2.0)+ST2(12,4.0)",1.5%,1:3,4.5%,1%,71,45.07,1493.49,11493.49,14.93,6.03,1.41,21.04,160.02,-93.0,50.82
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,4.0,10,2.0,"ST1(12,4.0)+ST2(10,2.0)",1.5%,1:3,4.5%,1%,71,45.07,1493.49,11493.49,14.93,6.03,1.41,21.04,160.02,-93.0,50.82
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,2.0,12,3.5,"ST1(10,2.0)+ST2(12,3.5)",1.5%,1:3,4.5%,1%,72,47.22,1473.2,11473.2,14.73,6.54,1.43,20.46,144.85,-90.84,51.65
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,3.5,10,2.0,"ST1(12,3.5)+ST2(10,2.0)",1.5%,1:3,4.5%,1%,72,47.22,1473.2,11473.2,14.73,6.54,1.43,20.46,144.85,-90.84,51.65
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,2.0,14,3.5,"ST1(10,2.0)+ST2(14,3.5)",1.5%,1:3,4.5%,1%,72,45.83,1454.37,11454.37,14.54,6.69,1.42,20.2,149.14,-88.91,52.91
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,3.5,10,2.0,"ST1(14,3.5)+ST2(10,2.0)",1.5%,1:3,4.5%,1%,72,45.83,1454.37,11454.37,14.54,6.69,1.42,20.2,149.14,-88.91,52.91
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,2.0,10,2.0,"ST1(14,2.0)+ST2(10,2.0)",1.5%,1:3,4.5%,1%,80,48.75,1437.34,11437.34,14.37,6.99,1.36,17.97,138.27,-96.47,62.14
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,2.0,14,2.0,"ST1(10,2.0)+ST2(14,2.0)",1.5%,1:3,4.5%,1%,80,48.75,1437.34,11437.34,14.37,6.99,1.36,17.97,138.27,-96.47,62.14
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,2.0,12,3.5,"ST1(12,2.0)+ST2(12,3.5)",1.5%,1:3,4.5%,1%,72,47.22,1417.07,11417.07,14.17,6.54,1.42,19.68,141.95,-89.71,50.54
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,3.5,12,2.0,"ST1(12,3.5)+ST2(12,2.0)",1.5%,1:3,4.5%,1%,72,47.22,1417.07,11417.07,14.17,6.54,1.42,19.68,141.95,-89.71,50.54
