coin,timeframe,period,bars,st1_period,st1_mult,st2_period,st2_mult,settings,sl,rr,target,risk,num_trades,win_rate,total_net_profit,ending_capital,return_pct,max_drawdown_pct,profit_factor,expectancy,avg_win,avg_loss,exposure_pct
BTC/INR,5m,2026-09-17 to 2026-09-24 (7D),1963,10,4.0,14,3.0,"ST1(10,4.0)+ST2(14,3.0)",1.5%,1:3,4.5%,1%,10,80.0,719.74,10719.74,7.2,1.11,6.72,71.97,105.71,-62.96,88.69
BTC/INR,5m,2026-09-17 to 2026-09-24 (7D),1963,12,3.0,10,4.0,"ST1(12,3.0)+ST2(10,4.0)",1.5%,1:3,4.5%,1%,10,80.0,719.74,10719.74,7.2,1.11,6.72,71.97,105.71,-62.96,88.69
BTC/INR,5m,2026-09-17 to 2026-09-24 (7D),1963,12,4.0,14,3.0,"ST1(12,4.0)+ST2(14,3.0)",1.5%,1:3,4.5%,1%,10,80.0,719.74,10719.74,7.2,1.11,6.72,71.97,105.71,-62.96,88.69
BTC/INR,5m,2026-09-17 to 2026-09-24 (7D),1963,12,3.0,12,4.0,"ST1(12,3.0)+ST2(12,4.0)",1.5%,1:3,4.5%,1%,10,80.0,719.74,10719.74,7.2,1.11,6.72,71.97,105.71,-62.96,88.69
BTC/INR,5m,2026-09-17 to 2026-09-24 (7D),1963,12,3.0,14,4.0,"ST1(12,3.0)+ST2(14,4.0)",1.5%,1:3,4.5%,1%,10,80.0,719.74,10719.74,7.2,1.11,6.72,71.97,105.71,-62.96,88.69
BTC/INR,5m,2026-09-17 to 2026-09-24 (7D),1963,10,3.0,14,4.0,"ST1(10,3.0)+ST2(14,4.0)",1.5%,1:3,4.5%,1%,10,80.0,719.74,10719.74,7.2,1.11,6.72,71.97,105.71,-62.96,88.69
BTC/INR,5m,2026-09-17 to 2026-09-24 (7D),1963,10,3.0,12,4.0,"ST1(10,3.0)+ST2(12,4.0)",1.5%,1:3,4.5%,1%,10,80.0,719.74,10719.74,7.2,1.11,6.72,71.97,105.71,-62.96,88.69
BTC/INR,5m,2026-09-17 to 2026-09-24 (7D),1963,10,4.0,12,3.0,"ST1(10,4.0)+ST2(12,3.0)",1.5%,1:3,4.5%,1%,10,80.0,719.74,10719.74,7.2,1.11,6.72,71.97,105.71,-62.96,88.69
BTC/INR,5m,2026-09-17 to 2026-09-24 (7D),1963,14,3.0,12,4.0,"ST1(14,3.0)+ST2(12,4.0)",1.5%,1:3,4.5%,1%,10,80.0,719.74,10719.74,7.2,1.11,6.72,71.97,105.71,-62.96,88.69
BTC/INR,5m,2026-09-17 to 2026-09-24 (7D),1963,14,4.0,12,3.0,"ST1(14,4.0)+ST2(12,3.0)",1.5%,1:3,4.5%,1%,10,80.0,719.74,10719.74,7.2,1.11,6.72,71.97,105.71,-62.96,88.69
BTC/INR,5m,2026-09-17 to 2026-09-24 (7D),1963,14,4.0,10,3.0,"ST1(14,4.0)+ST2(10,3.0)",1.5%,1:3,4.5%,1%,10,80.0,719.74,10719.74,7.2,1.11,6.72,71.97,105.71,-62.96,88.69
BTC/INR,5m,2026-09-17 to 2026-09-24 (7D),1963,14,4.0,14,3.0,"ST1(14,4.0)+ST2(14,3.0)",1.5%,1:3,4.5%,1%,10,80.0,719.74,10719.74,7.2,1.11,6.72,71.97,105.71,-62.96,88.69
BTC/INR,5m,2026-09-17 to 2026-09-24 (7D),1963,14,3.0,14,4.0,"ST1(14,3.0)+ST2(14,4.0)",1.5%,1:3,4.5%,1%,10,80.0,719.74,10719.74,7.2,1.11,6.72,71.97,105.71,-62.96,88.69
BTC/INR,5m,2026-09-17 to 2026-09-24 (7D),1963,10,4.0,10,3.0,"ST1(10,4.0)+ST2(10,3.0)",1.5%,1:3,4.5%,1%,10,80.0,719.74,10719.74,7.2,1.11,6.72,71.97,105.71,-62.96,88.69
BTC/INR,5m,2026-09-17 to 2026-09-24 (7D),1963,14,3.0,10,4.0,"ST1(14,3.0)+ST2(10,4.0)",1.5%,1:3,4.5%,1%,10,80.0,719.74,10719.74,7.2,1.11,6.72,71.97,105.71,-62.96,88.69
BTC/INR,5m,2026-09-17 to 2026-09-24 (7D),1963,10,3.0,10,4.0,"ST1(10,3.0)+ST2(10,4.0)",1.5%,1:3,4.5%,1%,10,80.0,719.74,10719.74,7.2,1.11,6.72,71.97,105.71,-62.96,88.69
BTC/INR,5m,2026-09-17 to 2026-09-24 (7D),1963,12,4.0,12,3.0,"ST1(12,4.0)+ST2(12,3.0)",1.5%,1:3,4.5%,1%,10,80.0,719.74,10719.74,7.2,1.11,6.72,71.97,105.71,-62.96,88.69
BTC/INR,5m,2026-09-17 to 2026-09-24 (7D),1963,12,4.0,10,3.0,"ST1(12,4.0)+ST2(10,3.0)",1.5%,1:3,4.5%,1%,10,80.0,719.74,10719.74,7.2,1.11,6.72,71.97,105.71,-62.96,88.69
BTC/INR,5m,2026-09-17 to 2026-09-24 (7D),1963,10,2.0,14,4.0,"ST1(10,2.0)+ST2(14,4.0)",1.5%,1:3,4.5%,1%,10,70.0,703.06,10703.06,7.03,1.18,6.12,70.31,120.07,-45.81,82.06
BTC/INR,5m,2026-09-17 to 2026-09-24 (7D),1963,10,4.0,10,2.0,"ST1(10,4.0)+ST2(10,2.0)",1.5%,1:3,4.5%,1%,10,70.0,703.06,10703.06,7.03,1.18,6.12,70.31,120.07,-45.81,82.06
BTC/INR,5m,2026-09-17 to 2026-09-24 (7D),1963,10,2.0,12,4.0,"ST1(10,2.0)+ST2(12,4.0)",1.5%,1:3,4.5%,1%,10,70.0,703.06,10703.06,7.03,1.18,6.12,70.31,120.07,-45.81,82.06
