coin,timeframe,period,bars,sl,rr,risk,sl_pct,rr_val,strategy,starting_capital,ending_capital,total_net_profit,return_pct,max_drawdown_inr,max_drawdown_pct,max_profit,max_loss,avg_win,avg_loss,largest_win,largest_loss,win_rate,loss_rate,profit_factor,expectancy,num_trades,winning_trades,losing_trades,breakeven_trades,max_win_streak,max_loss_streak,avg_win_streak,avg_loss_streak,recovery_factor,sharpe,sortino,calmar,exposure_pct,avg_duration_hours,max_duration_hours,min_duration_hours,gross_profit,gross_loss
BTC/INR,5m,2026-09-17 to 2026-09-24 (7D),1954,1%,1:2,1%,1.0,2.0,Double ST 10x3+10x4,10000.0,10727.29,727.29,7.27,279.56,2.59,184.56,-119.43,112.92,-57.79,184.56,-119.43,64.29,35.71,3.52,51.95,14,9,5,0,5,4,3.0,2.5,2.6,18.71,37.8,2727.18,84.02,9.77,23.33,2.83,1016.25,288.95
BTC/INR,5m,2026-09-17 to 2026-09-24 (7D),1954,1%,1:3,1%,1.0,3.0,Double ST 10x3+10x4,10000.0,10696.93,696.93,6.97,252.27,2.34,278.21,-119.48,136.93,-65.4,278.21,-119.48,63.64,36.36,3.66,63.36,11,7,4,0,4,3,2.33,2.0,2.76,18.24,42.13,2531.22,85.92,12.71,23.33,4.42,958.5,261.59
BTC/INR,5m,2026-09-17 to 2026-09-24 (7D),1954,1.5%,1:2,1%,1.5,2.0,Double ST 10x3+10x4,10000.0,10525.71,525.71,5.26,117.23,1.11,193.24,-117.23,81.18,-61.85,193.24,-117.23,80.0,20.0,5.25,52.57,10,8,2,0,4,1,2.67,1.0,4.48,21.94,27.15,1942.09,88.89,14.47,23.67,4.42,649.4,123.7
BTC/INR,5m,2026-09-17 to 2026-09-24 (7D),1954,1.5%,1:3,1%,1.5,3.0,Double ST 10x3+10x4,10000.0,10719.74,719.74,7.2,119.39,1.11,298.5,-119.39,105.71,-62.96,298.5,-119.39,80.0,20.0,6.72,71.97,10,8,2,0,4,1,2.67,1.0,6.03,21.53,36.98,6083.31,89.09,14.5,23.67,4.42,845.66,125.92
BTC/INR,5m,2026-09-17 to 2026-09-24 (7D),1954,2%,1:2,1%,2.0,2.0,Double ST 10x3+10x4,10000.0,10402.85,402.85,4.03,113.76,1.08,195.89,-113.76,65.18,-59.3,195.89,-113.76,80.0,20.0,4.4,40.29,10,8,2,0,4,1,2.67,1.0,3.54,17.09,21.21,928.23,88.43,14.39,23.67,3.0,521.47,118.61
BTC/INR,5m,2026-09-17 to 2026-09-24 (7D),1954,2%,1:3,1%,2.0,3.0,Double ST 10x3+10x4,10000.0,10448.75,448.75,4.49,142.88,1.35,299.45,-114.26,100.76,-51.94,299.45,-114.26,66.67,33.33,3.88,49.86,9,6,3,0,3,1,1.5,1.0,3.14,14.24,36.27,995.66,88.99,16.09,23.67,3.0,604.58,155.83
BTC/INR,15m,2026-07-25 to 2026-09-24 (60D),5739,1%,1:2,1%,1.0,2.0,Double ST 10x3+10x4,10000.0,7917.83,-2082.17,-20.82,2372.67,23.43,173.44,-112.48,101.45,-72.22,173.44,-112.48,30.97,69.03,0.63,-18.43,113,35,78,0,4,10,1.4,3.0,-0.88,-7.63,-19.33,-3.26,70.73,8.98,24.0,0.25,3550.75,5632.89
BTC/INR,15m,2026-07-25 to 2026-09-24 (60D),5739,1%,1:3,1%,1.0,3.0,Double ST 10x3+10x4,10000.0,8175.86,-1824.14,-18.24,2343.87,22.76,268.1,-114.39,115.19,-73.91,268.1,-114.39,29.81,70.19,0.66,-17.54,104,31,73,0,3,10,1.35,3.17,-0.78,-6.43,-18.11,-3.13,72.59,10.01,24.0,0.5,3570.99,5395.16
BTC/INR,15m,2026-07-25 to 2026-09-24 (60D),5739,1.5%,1:2,1%,1.5,2.0,Double ST 10x3+10x4,10000.0,8943.75,-1056.25,-10.56,1415.87,13.86,189.11,-113.5,76.29,-66.37,189.11,-113.5,38.2,61.8,0.71,-11.87,89,34,55,0,4,7,1.55,2.39,-0.75,-5.11,-11.1,-3.6,77.16,12.44,23.5,0.5,2593.82,3650.08
BTC/INR,15m,2026-07-25 to 2026-09-24 (60D),5739,1.5%,1:3,1%,1.5,3.0,Double ST 10x3+10x4,10000.0,9510.95,-489.05,-4.89,1080.31,10.46,287.04,-114.7,84.76,-66.09,287.04,-114.7,40.0,60.0,0.85,-5.75,85,34,51,0,4,7,1.62,2.32,-0.45,-1.99,-4.92,-2.55,78.29,13.21,23.5,0.5,2881.72,3370.78
BTC/INR,15m,2026-07-25 to 2026-09-24 (60D),5739,2%,1:2,1%,2.0,2.0,Double ST 10x3+10x4,10000.0,9623.17,-376.83,-3.77,906.47,8.84,191.24,-110.68,60.25,-54.88,191.24,-110.68,43.24,56.76,0.84,-5.09,74,32,42,0,3,5,1.6,2.0,-0.42,-2.38,-4.6,-2.39,80.69,15.65,24.0,0.5,1928.08,2304.91
BTC/INR,15m,2026-07-25 to 2026-09-24 (60D),5739,2%,1:3,1%,2.0,3.0,Double ST 10x3+10x4,10000.0,9719.12,-280.88,-2.81,963.43,9.26,294.45,-112.66,74.73,-55.64,294.45,-112.66,39.73,60.27,0.89,-3.85,73,29,44,0,3,5,1.53,2.2,-0.29,-1.46,-3.26,-1.74,80.71,15.86,24.0,0.5,2167.19,2448.09
BTC/INR,30m,2026-07-25 to 2026-09-24 (60D),2870,1%,1:2,1%,1.0,2.0,Double ST 10x3+10x4,10000.0,8674.38,-1325.62,-13.26,1685.67,16.75,172.31,-111.75,107.86,-76.24,172.31,-111.75,32.94,67.06,0.69,-15.59,85,28,57,0,4,8,1.47,2.85,-0.79,-5.79,-15.81,-3.49,52.42,8.85,24.0,1.0,3020.14,4345.71
BTC/INR,30m,2026-07-25 to 2026-09-24 (60D),2870,1%,1:3,1%,1.0,3.0,Double ST 10x3+10x4,10000.0,9448.12,-551.88,-5.52,1179.4,11.61,267.32,-113.24,143.33,-80.73,267.32,-113.24,32.91,67.09,0.87,-6.99,79,26,53,0,4,8,1.44,2.79,-0.47,-1.87,-6.25,-2.55,54.86,9.96,24.0,1.0,3726.6,4278.48
BTC/INR,30m,2026-07-25 to 2026-09-24 (60D),2870,1.5%,1:2,1%,1.5,2.0,Double ST 10x3+10x4,10000.0,10154.39,154.39,1.54,759.04,7.14,196.62,-117.87,96.71,-63.1,196.62,-117.87,40.85,59.15,1.06,2.18,71,29,42,0,4,5,1.71,2.33,0.2,1.04,2.44,1.39,61.28,12.38,24.0,1.0,2804.49,2650.05
BTC/INR,30m,2026-07-25 to 2026-09-24 (60D),2870,1.5%,1:3,1%,1.5,3.0,Double ST 10x3+10x4,10000.0,10241.86,241.86,2.42,722.98,6.8,295.6,-117.8,101.19,-63.21,295.6,-117.8,40.58,59.42,1.09,3.51,69,28,41,0,4,5,1.75,2.41,0.33,1.44,3.73,2.34,62.22,12.93,24.0,1.0,2833.28,2591.41
BTC/INR,30m,2026-07-25 to 2026-09-24 (60D),2870,2%,1:2,1%,2.0,2.0,Double ST 10x3+10x4,10000.0,9811.63,-188.37,-1.88,740.25,7.16,193.04,-111.86,67.53,-54.72,193.04,-111.86,42.42,57.58,0.91,-2.85,66,28,38,0,4,5,1.75,2.24,-0.25,-1.19,-2.34,-1.55,63.58,13.82,24.0,1.0,1890.85,2079.23
BTC/INR,30m,2026-07-25 to 2026-09-24 (60D),2870,2%,1:3,1%,2.0,3.0,Double ST 10x3+10x4,10000.0,10168.77,168.77,1.69,765.07,7.24,297.74,-114.37,84.89,-57.39,297.74,-114.37,42.19,57.81,1.08,2.64,64,27,37,0,5,5,1.8,2.31,0.22,1.19,2.92,1.51,63.23,14.17,24.0,1.0,2292.05,2123.29
BTC/INR,1h,2024-09-24 to 2026-09-24 (2Y),17331,1%,1:2,1%,1.0,2.0,Double ST 10x3+10x4,10000.0,1600.84,-8399.16,-83.99,8497.89,84.22,171.91,-112.07,53.27,-41.45,171.91,-112.07,32.88,67.12,0.63,-10.31,815,268,547,0,7,14,1.5,3.04,-0.99,-7.78,-24.39,-0.71,37.24,8.01,26.0,2.0,14275.88,22674.95
BTC/INR,1h,2024-09-24 to 2026-09-24 (2Y),17331,1%,1:3,1%,1.0,3.0,Double ST 10x3+10x4,10000.0,1828.7,-8171.3,-81.71,8358.64,82.21,266.08,-112.81,63.7,-44.47,266.08,-112.81,31.51,68.49,0.66,-10.38,787,248,539,0,7,14,1.46,3.15,-0.98,-6.73,-23.44,-0.7,39.54,8.8,26.0,2.0,15796.36,23967.71
BTC/INR,1h,2024-09-24 to 2026-09-24 (2Y),17331,1.5%,1:2,1%,1.5,2.0,Double ST 10x3+10x4,10000.0,3324.92,-6675.08,-66.75,6822.62,67.83,184.5,-111.96,58.45,-47.41,184.5,-111.96,35.88,64.12,0.69,-9.43,708,254,454,0,7,12,1.56,2.77,-0.98,-6.09,-14.27,-0.62,44.04,10.9,26.0,2.0,14846.9,21521.97
BTC/INR,1h,2024-09-24 to 2026-09-24 (2Y),17331,1.5%,1:3,1%,1.5,3.0,Double ST 10x3+10x4,10000.0,3893.34,-6106.66,-61.07,6522.5,63.52,283.16,-114.29,66.72,-49.89,283.16,-114.29,35.25,64.75,0.73,-8.79,695,245,450,0,5,12,1.56,2.85,-0.94,-4.76,-12.32,-0.59,44.97,11.34,26.0,2.0,16345.46,22452.1
BTC/INR,1h,2024-09-24 to 2026-09-24 (2Y),17331,2%,1:2,1%,2.0,2.0,Double ST 10x3+10x4,10000.0,4778.25,-5221.75,-52.22,5812.69,55.42,195.32,-113.8,50.9,-44.36,195.32,-113.8,38.28,61.72,0.71,-7.9,661,253,408,0,7,12,1.69,2.7,-0.9,-5.06,-10.24,-0.56,47.45,12.58,26.0,2.0,12878.4,18100.08
