trade_no,coin,timeframe,direction,entry_time,exit_time,entry_price_usd,entry_price_inr,stop_price_usd,target_price_usd,exit_price_usd,exit_price_inr,exit_reason,risk_pct,risk_inr,position_size_coin,position_size_inr,gross_pnl_inr,fees_inr,net_pnl_inr,net_pnl,equity_before,equity_after
1,BTC/INR,1h,LONG,2024-09-26 21:30:00+05:30,2024-09-27 00:30:00+05:30,65506.05,5469754.78,64523.45,67471.23,65256.97,5448956.87,INTRADAY_SQUAREOFF,0.01,100.0,0.001219,6666.67,-25.35,7.85,-33.2,-33.2,10000.0,9966.8
2,BTC/INR,1h,LONG,2024-09-27 03:30:00+05:30,2024-09-28 00:30:00+05:30,65087.26,5434786.03,64110.95,67039.88,65859.9,5499301.43,INTRADAY_SQUAREOFF,0.01,99.67,0.001223,6644.53,78.88,7.89,70.99,70.99,9966.8,10037.79
3,BTC/INR,1h,LONG,2024-09-28 07:30:00+05:30,2024-09-29 00:30:00+05:30,66032.95,5513750.93,65042.45,68013.93,65681.21,5484381.31,INTRADAY_SQUAREOFF,0.01,100.38,0.001214,6691.86,-35.64,7.88,-43.52,-43.52,10037.79,9994.27
4,BTC/INR,1h,LONG,2024-09-29 05:30:00+05:30,2024-09-30 00:30:00+05:30,65981.37,5509444.62,64991.65,67960.81,65770.47,5491834.52,INTRADAY_SQUAREOFF,0.01,99.94,0.001209,6662.85,-21.3,7.85,-29.15,-29.15,9994.27,9965.12
5,BTC/INR,1h,SHORT,2024-09-30 12:30:00+05:30,2024-10-01 00:30:00+05:30,64333.27,5371828.4,65298.27,62403.28,63351.79,5289874.05,INTRADAY_SQUAREOFF,0.01,99.65,0.001237,6643.41,101.35,7.78,93.57,93.57,9965.12,10058.7
6,BTC/INR,1h,SHORT,2024-10-02 15:30:00+05:30,2024-10-02 21:30:00+05:30,61119.47,5103475.57,62036.26,59285.88,62067.28,5182617.72,STOP_LOSS,0.01,100.59,0.001314,6705.8,-103.99,7.97,-111.96,-111.96,10058.7,9946.73
7,BTC/INR,1h,SHORT,2024-10-03 13:30:00+05:30,2024-10-04 00:30:00+05:30,60862.06,5081982.14,61774.99,59036.2,60745.15,5072220.06,INTRADAY_SQUAREOFF,0.01,99.47,0.001305,6631.15,12.74,7.82,4.92,4.92,9946.73,9951.65
8,BTC/INR,1h,SHORT,2024-10-04 06:30:00+05:30,2024-10-04 12:30:00+05:30,60437.06,5046494.78,61343.62,58623.95,61374.29,5124753.3,STOP_LOSS,0.01,99.52,0.001315,6634.44,-102.88,7.89,-110.77,-110.77,9951.65,9840.88
9,BTC/INR,1h,SHORT,2024-10-04 15:30:00+05:30,2024-10-04 21:30:00+05:30,61272.95,5116290.98,62192.04,59434.76,62223.14,5195631.86,STOP_LOSS,0.01,98.41,0.001282,6560.59,-101.74,7.8,-109.54,-109.54,9840.88,9731.34
10,BTC/INR,1h,LONG,2024-10-05 00:30:00+05:30,2024-10-06 00:30:00+05:30,62360.88,5207133.78,61425.47,64231.71,61833.21,5163073.24,INTRADAY_SQUAREOFF,0.01,97.31,0.001246,6487.56,-54.89,7.62,-62.52,-62.52,9731.34,9668.82
