trade_no,coin,timeframe,direction,entry_time,exit_time,entry_price_usd,entry_price_inr,stop_price_usd,target_price_usd,exit_price_usd,exit_price_inr,exit_reason,risk_pct,risk_inr,position_size_coin,position_size_inr,gross_pnl_inr,fees_inr,net_pnl_inr,net_pnl,equity_before,equity_after
1,BTC/INR,1h,LONG,2024-09-26 21:30:00+05:30,2024-09-27 00:30:00+05:30,65506.05,5469754.78,64850.98,66816.17,64818.56,5412349.7,STOP_LOSS,0.01,100.0,0.001737,9500.0,-99.7,11.15,-110.85,-110.85,10000.0,9889.15
2,BTC/INR,1h,LONG,2024-09-27 03:30:00+05:30,2024-09-27 19:30:00+05:30,65087.26,5434786.03,64436.39,66389.0,66355.81,5540710.01,TARGET_HIT,0.01,98.89,0.001729,9394.69,183.1,11.19,171.91,171.91,9889.15,10061.06
3,BTC/INR,1h,LONG,2024-09-28 07:30:00+05:30,2024-09-29 00:30:00+05:30,66032.95,5513750.93,65372.62,67353.6,65681.21,5484381.31,INTRADAY_SQUAREOFF,0.01,100.61,0.001733,9558.0,-50.91,11.25,-62.16,-62.16,10061.06,9998.89
4,BTC/INR,1h,LONG,2024-09-29 05:30:00+05:30,2024-09-30 00:30:00+05:30,65981.37,5509444.62,65321.56,67301.0,65770.47,5491834.52,INTRADAY_SQUAREOFF,0.01,99.99,0.001724,9498.95,-30.36,11.19,-41.55,-41.55,9998.89,9957.34
5,BTC/INR,1h,SHORT,2024-09-30 12:30:00+05:30,2024-10-01 00:30:00+05:30,64333.27,5371828.4,64976.61,63046.61,63351.79,5289874.05,INTRADAY_SQUAREOFF,0.01,99.57,0.001761,9459.47,144.32,11.08,133.24,133.24,9957.34,10090.58
6,BTC/INR,1h,SHORT,2024-10-02 15:30:00+05:30,2024-10-02 20:30:00+05:30,61119.47,5103475.57,61730.66,59897.08,61761.53,5157087.58,STOP_LOSS,0.01,100.91,0.001878,9586.05,-100.7,11.37,-112.07,-112.07,10090.58,9978.51
7,BTC/INR,1h,SHORT,2024-10-03 00:30:00+05:30,2024-10-03 08:30:00+05:30,60751.19,5072724.14,61358.7,59536.16,61389.38,5126013.11,STOP_LOSS,0.01,99.79,0.001869,9479.58,-99.58,11.24,-110.83,-110.83,9978.51,9867.68
8,BTC/INR,1h,SHORT,2024-10-03 13:30:00+05:30,2024-10-04 00:30:00+05:30,60862.06,5081982.14,61470.68,59644.82,60745.15,5072220.06,INTRADAY_SQUAREOFF,0.01,98.68,0.001845,9374.3,18.01,11.05,6.96,6.96,9867.68,9874.64
9,BTC/INR,1h,SHORT,2024-10-04 06:30:00+05:30,2024-10-04 08:30:00+05:30,60437.06,5046494.78,61041.43,59228.32,61071.95,5099508.21,STOP_LOSS,0.01,98.75,0.001859,9380.91,-98.55,11.13,-109.67,-109.67,9874.64,9764.96
10,BTC/INR,1h,SHORT,2024-10-04 15:30:00+05:30,2024-10-04 18:30:00+05:30,61272.95,5116290.98,61885.68,60047.49,61916.62,5170037.62,STOP_LOSS,0.01,97.65,0.001813,9276.72,-97.45,11.0,-108.46,-108.46,9764.96,9656.51
