trade_no,coin,timeframe,direction,entry_time,exit_time,entry_price_usd,entry_price_inr,stop_price_usd,target_price_usd,exit_price_usd,exit_price_inr,exit_reason,risk_pct,risk_inr,position_size_coin,position_size_inr,gross_pnl_inr,fees_inr,net_pnl_inr,net_pnl,equity_before,equity_after
1,ETH/INR,1h,LONG,2024-09-27 06:30:00+05:30,2024-09-27 21:30:00+05:30,2642.67,220662.56,2603.03,2721.95,2720.58,227168.8,TARGET_HIT,0.01,100.0,0.030212,6666.67,196.57,7.98,188.58,188.58,10000.0,10188.58
2,ETH/INR,1h,LONG,2024-09-28 04:30:00+05:30,2024-09-28 13:30:00+05:30,2709.34,226229.73,2668.7,2790.62,2667.36,222724.87,STOP_LOSS,0.01,101.89,0.030024,6792.39,-105.23,7.95,-113.18,-113.18,10188.58,10075.4
3,ETH/INR,1h,SHORT,2024-09-30 02:30:00+05:30,2024-10-01 00:30:00+05:30,2657.87,221931.99,2697.74,2578.13,2589.83,216250.88,INTRADAY_SQUAREOFF,0.01,100.75,0.030266,6716.93,171.94,7.82,164.12,164.12,10075.4,10239.52
4,ETH/INR,1h,SHORT,2024-10-02 15:30:00+05:30,2024-10-03 00:30:00+05:30,2446.89,204315.37,2483.59,2373.48,2374.67,198285.0,TARGET_HIT,0.01,102.4,0.033411,6826.35,201.48,7.94,193.54,193.54,10239.52,10433.06
5,ETH/INR,1h,SHORT,2024-10-03 11:30:00+05:30,2024-10-04 00:30:00+05:30,2381.77,198877.85,2417.5,2310.32,2345.34,195835.83,INTRADAY_SQUAREOFF,0.01,104.33,0.034973,6955.37,106.39,8.14,98.24,98.24,10433.06,10531.31
6,ETH/INR,1h,SHORT,2024-10-04 06:30:00+05:30,2024-10-04 09:30:00+05:30,2338.94,195301.09,2374.02,2268.77,2375.21,198329.72,STOP_LOSS,0.01,105.31,0.035949,7020.87,-108.88,8.35,-117.23,-117.23,10531.31,10414.08
7,ETH/INR,1h,SHORT,2024-10-04 15:30:00+05:30,2024-10-04 20:30:00+05:30,2374.18,198244.03,2409.79,2302.95,2411.0,201318.3,STOP_LOSS,0.01,104.14,0.035021,6942.72,-107.66,8.26,-115.92,-115.92,10414.08,10298.16
8,ETH/INR,1h,LONG,2024-10-05 06:30:00+05:30,2024-10-06 00:30:00+05:30,2425.44,202524.37,2389.06,2498.2,2401.15,200496.36,INTRADAY_SQUAREOFF,0.01,102.98,0.033899,6865.44,-68.75,8.06,-76.81,-76.81,10298.16,10221.35
9,ETH/INR,1h,LONG,2024-10-06 17:30:00+05:30,2024-10-07 00:30:00+05:30,2430.84,202975.35,2394.38,2503.77,2444.87,204146.48,INTRADAY_SQUAREOFF,0.01,102.21,0.033572,6814.23,39.32,8.06,31.25,31.25,10221.35,10252.6
10,ETH/INR,1h,SHORT,2024-10-08 04:30:00+05:30,2024-10-08 19:30:00+05:30,2413.96,201565.75,2450.17,2341.54,2451.4,204691.53,STOP_LOSS,0.01,102.53,0.03391,6835.07,-105.99,8.13,-114.12,-114.12,10252.6,10138.48
11,ETH/INR,1h,SHORT,2024-10-09 04:30:00+05:30,2024-10-10 00:30:00+05:30,2438.62,203624.56,2475.2,2365.46,2413.49,201526.5,INTRADAY_SQUAREOFF,0.01,101.38,0.033193,6758.99,69.64,7.93,61.71,61.71,10138.48,10200.19
12,ETH/INR,1h,SHORT,2024-10-10 02:30:00+05:30,2024-10-10 06:30:00+05:30,2354.46,196597.36,2389.78,2283.83,2390.97,199646.09,STOP_LOSS,0.01,102.0,0.034589,6800.13,-105.45,8.09,-113.54,-113.54,10200.19,10086.65
13,ETH/INR,1h,SHORT,2024-10-10 14:30:00+05:30,2024-10-11 00:30:00+05:30,2379.79,198712.46,2415.49,2308.4,2355.56,196689.53,INTRADAY_SQUAREOFF,0.01,100.87,0.03384,6724.43,68.46,7.89,60.56,60.56,10086.65,10147.21
14,ETH/INR,1h,SHORT,2024-10-11 14:30:00+05:30,2024-10-11 19:30:00+05:30,2400.07,200406.12,2436.07,2328.07,2437.29,203513.92,STOP_LOSS,0.01,101.47,0.033755,6764.81,-104.91,8.04,-112.95,-112.95,10147.21,10034.26
15,ETH/INR,1h,LONG,2024-10-11 23:30:00+05:30,2024-10-12 01:30:00+05:30,2451.88,204731.79,2415.1,2525.43,2456.71,205135.67,INTRADAY_SQUAREOFF,0.01,100.34,0.032674,6689.51,13.2,7.9,5.3,5.3,10034.26,10039.56
16,ETH/INR,1h,LONG,2024-10-12 06:30:00+05:30,2024-10-13 00:30:00+05:30,2448.93,204485.75,2412.2,2522.4,2468.11,206086.92,INTRADAY_SQUAREOFF,0.01,100.4,0.032731,6693.04,52.41,7.93,44.48,44.48,10039.56,10084.04
17,ETH/INR,1h,LONG,2024-10-13 03:30:00+05:30,2024-10-13 20:30:00+05:30,2480.23,207099.16,2443.03,2554.64,2441.8,203890.68,STOP_LOSS,0.01,100.84,0.032461,6722.69,-104.15,7.87,-112.02,-112.02,10084.04,9972.01
18,ETH/INR,1h,SHORT,2024-10-14 06:30:00+05:30,2024-10-14 08:30:00+05:30,2448.86,204479.46,2485.59,2375.39,2486.83,207650.42,STOP_LOSS,0.01,99.72,0.032512,6648.01,-103.09,7.91,-111.0,-111.0,9972.01,9861.01
19,ETH/INR,1h,LONG,2024-10-14 18:30:00+05:30,2024-10-14 20:30:00+05:30,2560.8,213826.72,2522.39,2637.62,2636.3,220131.4,TARGET_HIT,0.01,98.61,0.030745,6574.01,193.83,7.87,185.96,185.96,9861.01,10046.98
