trade_no,coin,timeframe,direction,entry_time,exit_time,entry_price_usd,entry_price_inr,stop_price_usd,target_price_usd,exit_price_usd,exit_price_inr,exit_reason,risk_pct,risk_inr,position_size_coin,position_size_inr,gross_pnl_inr,fees_inr,net_pnl_inr,net_pnl,equity_before,equity_after
1,ETH/INR,1h,LONG,2024-09-27 06:30:00+05:30,2024-09-27 21:30:00+05:30,2642.67,220662.56,2616.24,2721.95,2720.58,227168.8,TARGET_HIT,0.01,100.0,0.043052,9500.0,280.11,11.38,268.73,268.73,10000.0,10268.73
2,ETH/INR,1h,LONG,2024-09-28 04:30:00+05:30,2024-09-28 11:30:00+05:30,2709.34,226229.73,2682.24,2790.62,2680.9,223855.45,STOP_LOSS,0.01,102.69,0.043121,9755.3,-102.38,11.45,-113.83,-113.83,10268.73,10154.9
3,ETH/INR,1h,SHORT,2024-09-30 02:30:00+05:30,2024-10-01 00:30:00+05:30,2657.87,221931.99,2684.45,2578.13,2589.83,216250.88,INTRADAY_SQUAREOFF,0.01,101.55,0.043469,9647.15,246.95,11.24,235.71,235.71,10154.9,10390.61
4,ETH/INR,1h,SHORT,2024-10-02 15:30:00+05:30,2024-10-02 21:30:00+05:30,2446.89,204315.37,2471.36,2373.48,2472.6,206461.71,STOP_LOSS,0.01,103.91,0.048313,9871.08,-103.7,11.71,-115.4,-115.4,10390.61,10275.21
5,ETH/INR,1h,SHORT,2024-10-03 11:30:00+05:30,2024-10-04 00:30:00+05:30,2381.77,198877.85,2405.59,2310.32,2345.34,195835.83,INTRADAY_SQUAREOFF,0.01,102.75,0.049083,9761.45,149.31,11.43,137.88,137.88,10275.21,10413.09
6,ETH/INR,1h,SHORT,2024-10-04 06:30:00+05:30,2024-10-04 08:30:00+05:30,2338.94,195301.09,2362.32,2268.77,2363.51,197352.72,STOP_LOSS,0.01,104.13,0.050652,9892.43,-103.92,11.73,-115.65,-115.65,10413.09,10297.43
7,ETH/INR,1h,SHORT,2024-10-04 15:30:00+05:30,2024-10-04 20:30:00+05:30,2374.18,198244.03,2397.92,2302.95,2399.12,200326.58,STOP_LOSS,0.01,102.97,0.049346,9782.56,-102.77,11.6,-114.37,-114.37,10297.43,10183.06
8,ETH/INR,1h,LONG,2024-10-05 06:30:00+05:30,2024-10-05 08:30:00+05:30,2425.44,202524.37,2401.19,2498.2,2399.99,200398.88,STOP_LOSS,0.01,101.83,0.047767,9673.91,-101.53,11.36,-112.88,-112.88,10183.06,10070.18
9,ETH/INR,1h,LONG,2024-10-05 11:30:00+05:30,2024-10-06 00:30:00+05:30,2418.83,201972.7,2394.65,2491.4,2393.45,199853.0,STOP_LOSS,0.01,100.7,0.047366,9566.67,-100.4,11.23,-111.63,-111.63,10070.18,9958.55
10,ETH/INR,1h,LONG,2024-10-06 17:30:00+05:30,2024-10-07 00:30:00+05:30,2430.84,202975.35,2406.53,2503.77,2444.87,204146.48,INTRADAY_SQUAREOFF,0.01,99.59,0.04661,9460.62,54.59,11.2,43.39,43.39,9958.55,10001.94
11,ETH/INR,1h,SHORT,2024-10-08 04:30:00+05:30,2024-10-08 06:30:00+05:30,2413.96,201565.75,2438.1,2341.54,2439.32,203683.2,STOP_LOSS,0.01,100.02,0.04714,9501.84,-99.82,11.27,-111.09,-111.09,10001.94,9890.85
