trade_no,coin,timeframe,direction,entry_time,exit_time,entry_price_usd,entry_price_inr,stop_price_usd,target_price_usd,exit_price_usd,exit_price_inr,exit_reason,risk_pct,risk_inr,position_size_coin,position_size_inr,gross_pnl_inr,fees_inr,net_pnl_inr,net_pnl,equity_before,equity_after
1,ETH/INR,5m,LONG,2026-09-17 10:55:00+05:30,2026-09-18 00:00:00+05:30,2441.94,203902.02,2405.31,2551.83,2457.38,205191.3,INTRADAY_SQUAREOFF,0.01,100.0,0.032695,6666.67,42.15,7.89,34.26,34.26,10000.0,10034.26
2,ETH/INR,5m,SHORT,2026-09-18 00:30:00+05:30,2026-09-18 10:35:00+05:30,2448.38,204439.34,2485.1,2338.2,2486.34,207609.68,STOP_LOSS,0.01,100.34,0.032721,6689.51,-103.74,7.95,-111.69,-111.69,10034.26,9922.57
3,ETH/INR,5m,LONG,2026-09-18 11:35:00+05:30,2026-09-18 21:45:00+05:30,2486.75,207643.86,2449.45,2598.66,2597.36,216879.34,TARGET_HIT,0.01,99.23,0.031858,6615.05,294.22,7.98,286.24,286.24,9922.57,10208.81
4,ETH/INR,5m,LONG,2026-09-18 22:05:00+05:30,2026-09-19 00:00:00+05:30,2610.55,217981.31,2571.4,2728.03,2608.42,217802.66,INTRADAY_SQUAREOFF,0.01,102.09,0.031222,6805.87,-5.58,8.03,-13.61,-13.61,10208.81,10195.21
5,ETH/INR,5m,LONG,2026-09-19 00:35:00+05:30,2026-09-20 00:00:00+05:30,2620.14,218781.65,2580.84,2738.05,2639.06,220361.48,INTRADAY_SQUAREOFF,0.01,101.95,0.031067,6796.8,49.08,8.05,41.03,41.03,10195.21,10236.24
6,ETH/INR,5m,SHORT,2026-09-20 00:45:00+05:30,2026-09-21 00:00:00+05:30,2632.33,219799.81,2671.82,2513.88,2639.17,220370.61,INTRADAY_SQUAREOFF,0.01,102.36,0.031047,6824.16,-17.72,8.06,-25.78,-25.78,10236.24,10210.45
7,ETH/INR,5m,LONG,2026-09-21 00:40:00+05:30,2026-09-21 20:20:00+05:30,2630.09,219612.88,2590.64,2748.45,2747.07,229380.72,TARGET_HIT,0.01,102.1,0.030995,6806.97,302.76,8.21,294.55,294.55,10210.45,10505.0
8,ETH/INR,5m,LONG,2026-09-21 20:40:00+05:30,2026-09-22 00:00:00+05:30,2753.7,229933.64,2712.39,2877.61,2750.04,229628.69,INTRADAY_SQUAREOFF,0.01,105.05,0.030458,7003.33,-9.29,8.26,-17.55,-17.55,10505.0,10487.45
9,ETH/INR,5m,LONG,2026-09-22 00:20:00+05:30,2026-09-23 00:00:00+05:30,2753.33,229902.71,2712.03,2877.23,2742.43,228992.75,INTRADAY_SQUAREOFF,0.01,104.87,0.030411,6991.63,-27.67,8.23,-35.91,-35.91,10487.45,10451.54
10,ETH/INR,5m,LONG,2026-09-23 01:00:00+05:30,2026-09-23 16:50:00+05:30,2765.51,230920.25,2724.03,2889.96,2722.67,227342.72,STOP_LOSS,0.01,104.52,0.030174,6967.7,-107.95,8.16,-116.11,-116.11,10451.54,10335.44
11,ETH/INR,5m,SHORT,2026-09-23 17:10:00+05:30,2026-09-24 00:00:00+05:30,2715.39,226735.2,2756.12,2593.2,2661.95,222272.86,INTRADAY_SQUAREOFF,0.01,103.35,0.030389,6890.29,135.61,8.05,127.56,127.56,10335.44,10463.0
