trade_no,coin,timeframe,direction,entry_time,exit_time,entry_price_usd,entry_price_inr,stop_price_usd,target_price_usd,exit_price_usd,exit_price_inr,exit_reason,risk_pct,risk_inr,position_size_coin,position_size_inr,gross_pnl_inr,fees_inr,net_pnl_inr,net_pnl,equity_before,equity_after
1,SOL/INR,1h,LONG,2024-09-26 21:30:00+05:30,2024-09-27 00:30:00+05:30,157.86,13181.12,155.49,162.59,156.54,13071.49,INTRADAY_SQUAREOFF,0.01,100.0,0.505774,6666.67,-55.45,7.83,-63.28,-63.28,10000.0,9936.72
2,SOL/INR,1h,LONG,2024-09-27 04:30:00+05:30,2024-09-28 00:30:00+05:30,156.35,13055.18,154.0,161.04,158.4,13226.52,INTRADAY_SQUAREOFF,0.01,99.37,0.507421,6624.48,86.94,7.87,79.07,79.07,9936.72,10015.79
3,SOL/INR,1h,LONG,2024-09-28 07:30:00+05:30,2024-09-28 13:30:00+05:30,158.61,13243.77,156.23,163.37,156.15,13038.59,STOP_LOSS,0.01,100.16,0.504176,6677.19,-103.45,7.82,-111.26,-111.26,10015.79,9904.52
4,SOL/INR,1h,SHORT,2024-09-28 22:30:00+05:30,2024-09-29 00:30:00+05:30,156.67,13081.85,159.02,151.97,156.83,13095.09,INTRADAY_SQUAREOFF,0.01,99.05,0.504746,6603.01,-6.68,7.8,-14.48,-14.48,9904.52,9890.04
5,SOL/INR,1h,SHORT,2024-09-29 02:30:00+05:30,2024-09-30 00:30:00+05:30,156.52,13069.33,158.87,151.82,158.95,13272.0,STOP_LOSS,0.01,98.9,0.504491,6593.36,-102.25,7.84,-110.09,-110.09,9890.04,9779.96
6,SOL/INR,1h,SHORT,2024-09-30 15:30:00+05:30,2024-10-01 00:30:00+05:30,155.04,12945.47,157.36,150.38,155.06,12947.85,INTRADAY_SQUAREOFF,0.01,97.8,0.503649,6519.97,-1.2,7.69,-8.89,-8.89,9779.96,9771.06
7,SOL/INR,1h,SHORT,2024-10-01 04:30:00+05:30,2024-10-01 14:30:00+05:30,154.57,12906.76,156.89,149.93,156.97,13106.91,STOP_LOSS,0.01,97.71,0.5047,6514.04,-101.02,7.75,-108.76,-108.76,9771.06,9662.3
8,SOL/INR,1h,SHORT,2024-10-01 17:30:00+05:30,2024-10-01 19:30:00+05:30,156.56,13072.75,158.91,151.86,151.94,12686.9,TARGET_HIT,0.01,96.62,0.492745,6441.53,190.12,7.49,182.63,182.63,9662.3,9844.93
9,SOL/INR,1h,SHORT,2024-10-02 04:30:00+05:30,2024-10-02 07:30:00+05:30,144.02,12026.02,146.18,139.7,146.26,12212.52,STOP_LOSS,0.01,98.45,0.545757,6563.29,-101.78,7.8,-109.58,-109.58,9844.93,9735.35
10,SOL/INR,1h,SHORT,2024-10-02 10:30:00+05:30,2024-10-03 00:30:00+05:30,146.57,12238.71,148.77,142.17,142.25,11877.49,TARGET_HIT,0.01,97.35,0.530304,6490.23,191.56,7.55,184.01,184.01,9735.35,9919.36
11,SOL/INR,1h,SHORT,2024-10-03 11:30:00+05:30,2024-10-03 13:30:00+05:30,141.09,11780.61,143.2,136.85,136.92,11432.91,TARGET_HIT,0.01,99.19,0.561338,6612.91,195.18,7.69,187.49,187.49,9919.36,10106.85
