trade_no,coin,timeframe,direction,entry_time,exit_time,entry_price_usd,entry_price_inr,stop_price_usd,target_price_usd,exit_price_usd,exit_price_inr,exit_reason,risk_pct,risk_inr,position_size_coin,position_size_inr,gross_pnl_inr,fees_inr,net_pnl_inr,net_pnl,equity_before,equity_after
1,SOL/INR,1h,LONG,2024-09-26 21:30:00+05:30,2024-09-26 23:30:00+05:30,157.86,13181.12,156.28,162.59,156.2,13042.79,STOP_LOSS,0.01,100.0,0.720728,9500.0,-99.7,11.15,-110.85,-110.85,10000.0,9889.15
2,SOL/INR,1h,LONG,2024-09-27 04:30:00+05:30,2024-09-27 06:30:00+05:30,156.35,13055.18,154.79,161.04,154.71,12918.17,STOP_LOSS,0.01,98.89,0.719614,9394.69,-98.6,11.03,-109.62,-109.62,9889.15,9779.52
3,SOL/INR,1h,LONG,2024-09-27 10:30:00+05:30,2024-09-28 00:30:00+05:30,157.09,13116.83,155.52,161.8,158.4,13226.52,INTRADAY_SQUAREOFF,0.01,97.8,0.708292,9290.55,77.69,11.01,66.68,66.68,9779.52,9846.2
4,SOL/INR,1h,LONG,2024-09-28 07:30:00+05:30,2024-09-28 11:30:00+05:30,158.61,13243.77,157.02,163.37,156.94,13104.77,STOP_LOSS,0.01,98.46,0.706286,9353.89,-98.17,10.98,-109.15,-109.15,9846.2,9737.05
5,SOL/INR,1h,SHORT,2024-09-28 22:30:00+05:30,2024-09-29 00:30:00+05:30,156.67,13081.85,158.24,151.97,156.83,13095.09,INTRADAY_SQUAREOFF,0.01,97.37,0.707102,9250.2,-9.36,10.92,-20.28,-20.28,9737.05,9716.77
6,SOL/INR,1h,SHORT,2024-09-29 02:30:00+05:30,2024-09-29 07:30:00+05:30,156.52,13069.33,158.08,151.82,158.16,13206.62,STOP_LOSS,0.01,97.17,0.706305,9230.93,-96.97,10.95,-107.92,-107.92,9716.77,9608.85
7,SOL/INR,1h,SHORT,2024-09-29 11:30:00+05:30,2024-09-29 22:30:00+05:30,156.38,13057.38,157.94,151.68,158.02,13194.55,STOP_LOSS,0.01,96.09,0.699099,9128.41,-95.89,10.83,-106.72,-106.72,9608.85,9502.13
8,SOL/INR,1h,SHORT,2024-09-30 15:30:00+05:30,2024-09-30 17:30:00+05:30,155.04,12945.47,156.59,150.38,156.66,13081.46,STOP_LOSS,0.01,95.02,0.697311,9027.02,-94.83,10.71,-105.54,-105.54,9502.13,9396.59
9,SOL/INR,1h,SHORT,2024-09-30 21:30:00+05:30,2024-10-01 00:30:00+05:30,154.53,12903.37,156.08,149.9,155.06,12947.85,INTRADAY_SQUAREOFF,0.01,93.97,0.691816,8926.76,-30.77,10.55,-41.32,-41.32,9396.59,9355.27
10,SOL/INR,1h,SHORT,2024-10-01 04:30:00+05:30,2024-10-01 11:30:00+05:30,154.57,12906.76,156.12,149.93,156.2,13042.35,STOP_LOSS,0.01,93.55,0.688593,8887.51,-93.36,10.54,-103.91,-103.91,9355.27,9251.37
