date,ticker,type,entry_time,exit_time,entry,exit,shares,pnl,reason
2024-09-26,QQQ,SHORT,2024-09-26 10:30:00-04:00,2024-09-26 11:30:00-04:00,487.31,489.09,25,-44.8,STOP_LOSS
2024-09-27,QQQ,SHORT,2024-09-27 10:30:00-04:00,2024-09-27 14:30:00-04:00,487.72,485.77,25,48.56,TARGET_HIT
2024-10-02,QQQ,LONG,2024-10-02 10:30:00-04:00,2024-10-02 15:30:00-04:00,483.21,481.8,25,-35.74,MANDATORY_EOD_SQUAREOFF
2024-10-08,QQQ,LONG,2024-10-08 10:30:00-04:00,2024-10-08 15:30:00-04:00,487.8,489.18,25,34.42,MANDATORY_EOD_SQUAREOFF
2024-10-09,QQQ,LONG,2024-10-09 10:30:00-04:00,2024-10-09 15:30:00-04:00,491.62,493.49,25,46.52,TARGET_HIT
2024-10-10,QQQ,LONG,2024-10-10 10:30:00-04:00,2024-10-10 14:30:00-04:00,492.83,491.2,25,-40.82,STOP_LOSS
2024-10-15,QQQ,SHORT,2024-10-15 10:30:00-04:00,2024-10-15 14:30:00-04:00,492.03,490.38,25,40.97,TARGET_HIT
2024-10-21,QQQ,SHORT,2024-10-21 10:30:00-04:00,2024-10-21 11:30:00-04:00,491.5,493.13,25,-40.95,STOP_LOSS
2024-10-23,QQQ,SHORT,2024-10-23 10:30:00-04:00,2024-10-23 12:30:00-04:00,490.44,488.51,25,47.82,TARGET_HIT
2024-10-29,QQQ,LONG,2024-10-29 11:30:00-04:00,2024-10-29 14:30:00-04:00,498.38,500.11,25,42.96,TARGET_HIT
2024-11-01,QQQ,LONG,2024-11-01 10:30:00-04:00,2024-11-01 12:30:00-04:00,490.8,488.48,25,-58.12,STOP_LOSS
2024-11-05,QQQ,LONG,2024-11-05 11:30:00-05:00,2024-11-05 15:30:00-05:00,492.48,492.1,25,-9.63,MANDATORY_EOD_SQUAREOFF
2024-11-06,QQQ,LONG,2024-11-06 12:30:00-05:00,2024-11-06 15:30:00-05:00,504.83,505.47,24,15.05,MANDATORY_EOD_SQUAREOFF
2024-11-07,QQQ,LONG,2024-11-07 10:30:00-05:00,2024-11-07 15:30:00-05:00,512.11,513.45,24,31.74,MANDATORY_EOD_SQUAREOFF
2024-11-11,QQQ,SHORT,2024-11-11 12:30:00-05:00,2024-11-11 13:30:00-05:00,511.79,513.05,24,-30.5,STOP_LOSS
2024-11-12,QQQ,SHORT,2024-11-12 10:30:00-05:00,2024-11-12 12:30:00-05:00,512.64,511.44,24,28.53,TARGET_HIT
2024-11-13,QQQ,LONG,2024-11-13 11:30:00-05:00,2024-11-13 13:30:00-05:00,513.21,514.69,24,35.46,TARGET_HIT
2024-11-15,QQQ,SHORT,2024-11-15 10:30:00-05:00,2024-11-15 12:30:00-05:00,498.51,496.05,25,61.24,TARGET_HIT
2024-11-18,QQQ,LONG,2024-11-18 10:30:00-05:00,2024-11-18 13:30:00-05:00,501.64,499.37,25,-56.91,STOP_LOSS
2024-11-19,QQQ,LONG,2024-11-19 10:30:00-05:00,2024-11-19 13:30:00-05:00,501.49,503.28,25,44.51,TARGET_HIT
2024-11-25,QQQ,SHORT,2024-11-25 11:30:00-05:00,2024-11-25 15:30:00-05:00,505.08,506.71,25,-41.09,MANDATORY_EOD_SQUAREOFF
2024-11-27,QQQ,SHORT,2024-11-27 10:30:00-05:00,2024-11-27 12:30:00-05:00,502.96,504.72,25,-44.3,STOP_LOSS
2024-12-02,QQQ,LONG,2024-12-02 11:30:00-05:00,2024-12-02 15:30:00-05:00,515.79,515.15,24,-15.82,MANDATORY_EOD_SQUAREOFF
2024-12-03,QQQ,LONG,2024-12-03 10:30:00-05:00,2024-12-03 11:30:00-05:00,516.37,514.8,24,-38.09,STOP_LOSS
2024-12-04,QQQ,LONG,2024-12-04 10:30:00-05:00,2024-12-04 15:30:00-05:00,521.72,523.13,24,33.68,TARGET_HIT
2024-12-05,QQQ,LONG,2024-12-05 11:30:00-05:00,2024-12-05 12:30:00-05:00,523.98,522.71,23,-29.35,STOP_LOSS
