ticker,entry_date,exit_date,entry_price,exit_price,shares,net_pnl,return_pct,exit_reason
QQQ,2024-07-12,2024-07-17,489.42,476.04,13,-174.12,-2.73,STOP_LOSS
QQQ,2024-07-17,2024-07-24,476.51,457.86,12,-223.89,-3.91,STOP_LOSS
QQQ,2024-07-24,2024-07-31,458.32,465.46,10,71.3,1.56,MOMENTUM_ROTATION
SPY,2024-07-31,2024-08-01,537.01,528.87,10,-81.44,-1.51,MOMENTUM_ROTATION
QQQ,2024-08-01,2024-08-02,454.64,443.41,7,-78.71,-2.47,STOP_LOSS
SPY,2024-08-02,2024-08-05,519.55,503.91,8,-125.16,-3.01,MOMENTUM_ROTATION
GLD,2024-08-05,2024-08-15,222.59,226.8,22,92.3,1.89,MOMENTUM_ROTATION
SPY,2024-08-15,2024-08-21,539.21,546.03,6,40.83,1.26,MOMENTUM_ROTATION
GLD,2024-08-21,2024-08-23,232.27,231.9,22,-8.19,-0.16,MOMENTUM_ROTATION
SPY,2024-08-23,2024-08-26,548.04,546.19,8,-14.9,-0.34,MOMENTUM_ROTATION
GLD,2024-08-26,2024-08-27,232.88,233.27,25,9.67,0.17,MOMENTUM_ROTATION
SPY,2024-08-27,2024-08-28,547.49,543.77,10,-37.32,-0.68,MOMENTUM_ROTATION
GLD,2024-08-28,2024-11-06,231.87,245.58,25,342.53,5.91,STOP_LOSS
GLD,2024-11-06,2024-11-07,245.82,249.53,30,110.77,1.51,MOMENTUM_ROTATION
QQQ,2024-11-07,2024-11-11,508.65,508.44,10,-2.22,-0.04,MOMENTUM_ROTATION
GLD,2024-11-11,2024-11-12,242.26,239.93,25,-58.53,-0.96,MOMENTUM_ROTATION
SPY,2024-11-12,2024-11-20,583.73,576.89,11,-75.31,-1.17,MOMENTUM_ROTATION
QQQ,2024-11-20,2024-12-18,498.38,511.04,10,126.52,2.54,STOP_LOSS
QQQ,2024-12-18,2024-12-19,511.55,508.76,12,-33.57,-0.54,STOP_LOSS
QQQ,2024-12-19,2025-01-27,509.27,509.62,10,3.41,0.07,STOP_LOSS
QQQ,2025-01-27,2025-02-06,510.13,524.88,8,117.86,2.89,MOMENTUM_ROTATION
GLD,2025-02-06,2025-04-04,263.56,279.58,27,432.23,6.08,STOP_LOSS
GLD,2025-04-04,2025-04-07,279.86,273.57,26,-163.71,-2.25,STOP_LOSS
GLD,2025-04-07,2025-04-23,273.85,303.5,22,652.11,10.83,STOP_LOSS
GLD,2025-04-23,2025-06-10,303.8,306.56,12,32.94,0.91,MOMENTUM_ROTATION
QQQ,2025-06-10,2025-06-12,530.77,529.69,11,-11.95,-0.2,MOMENTUM_ROTATION
GLD,2025-06-12,2025-06-13,312.36,316.13,19,71.55,1.21,MOMENTUM_ROTATION
QQQ,2025-06-13,2025-06-16,523.56,530.31,11,74.16,1.29,MOMENTUM_ROTATION
GLD,2025-06-16,2025-06-17,311.94,311.78,19,-3.08,-0.05,MOMENTUM_ROTATION
QQQ,2025-06-17,2025-06-18,525.67,525.05,12,-7.5,-0.12,MOMENTUM_ROTATION
GLD,2025-06-18,2025-06-25,310.42,306.97,20,-69.17,-1.11,MOMENTUM_ROTATION
QQQ,2025-06-25,2025-08-01,538.27,550.38,12,145.1,2.25,STOP_LOSS
QQQ,2025-08-01,2025-09-02,550.93,562.04,15,166.58,2.02,MOMENTUM_ROTATION
SPY,2025-09-02,2025-09-08,632.0,639.81,18,140.39,1.24,MOMENTUM_ROTATION
QQQ,2025-09-08,2025-09-23,575.78,595.1,12,231.74,3.36,MOMENTUM_ROTATION
GLD,2025-09-23,2025-10-21,346.63,377.05,20,608.16,8.78,STOP_LOSS
GLD,2025-10-21,2025-11-04,377.43,362.14,12,-183.6,-4.05,STOP_LOSS
GLD,2025-11-04,2026-01-30,362.5,444.73,9,739.95,22.68,STOP_LOSS
GLD,2026-01-30,2026-02-02,445.17,426.92,8,-146.13,-4.1,STOP_LOSS
GLD,2026-02-02,2026-04-17,427.34,445.71,5,91.77,4.3,MOMENTUM_ROTATION
QQQ,2026-04-17,2026-06-05,647.79,703.2,8,443.23,8.55,STOP_LOSS
QQQ,2026-06-05,2026-06-10,703.9,691.86,9,-108.48,-1.71,STOP_LOSS
QQQ,2026-06-10,2026-07-28,692.55,674.45,7,-126.8,-2.61,MOMENTUM_ROTATION
SPY,2026-07-28,2026-08-24,739.39,761.2,13,283.32,2.95,MOMENTUM_ROTATION
GLD,2026-08-24,2026-08-28,426.9,408.69,12,-218.73,-4.27,STOP_LOSS
GLD,2026-08-28,2026-08-31,409.09,408.22,14,-12.44,-0.21,MOMENTUM_ROTATION
SPY,2026-08-31,2026-09-08,765.53,763.68,19,-35.38,-0.24,MOMENTUM_ROTATION
GLD,2026-09-08,2026-09-09,399.92,403.15,11,35.4,0.81,MOMENTUM_ROTATION
SPY,2026-09-09,2026-09-10,760.89,755.57,18,-95.89,-0.7,MOMENTUM_ROTATION
GLD,2026-09-10,2026-09-14,396.56,392.64,12,-47.1,-0.99,MOMENTUM_ROTATION
SPY,2026-09-14,2026-09-18,759.37,761.31,17,32.72,0.25,MOMENTUM_ROTATION
